Title,Date,Rating,Genres,Budget,WorldwideGross,Description,Keywords,Runtime,Revenue-Budget-Ratio
Miss Peregrine's Home for Peculiar Children,2016,PG-13,Adventure Drama Family Fantasy Thriller ,110000000,296482446,"When Jacob (Asa Butterfield) discovers clues to a mystery that spans different worlds and times, he finds a magical place known as Miss Peregrine's Home for Peculiar Children. But the mystery and danger deepen as he gets to know the residents and learns about their special powers and their powerful enemies. Ultimately, Jacob discovers that only his own special ""peculiarity"" can save his new friends.",backwards time travel time loop time travel butterfly effect death of grandfather 147 more ,127,2.695294964
The Girl on the Train,2016,R,Crime Drama Mystery Thriller ,45000000,173185859,"The Girl on the Train is the story of Rachel Watson's life post-divorce. Every day, she takes the train in to work in New York, and every day the train passes by her old house. The house she lived in with her husband, who still lives there, with his new wife and child. As she attempts to not focus on her pain, she starts watching a couple who live a few houses down -- Megan and Scott Hipwell. She creates a wonderful dream life for them in her head, about how they are a perfect happy family. And then one day, as the train passes, she sees something shocking, filling her with rage. The next day, she wakes up with a horrible hangover, various wounds and bruises, and no memory of the night before. She has only a feeling: something bad happened. Then come the TV reports: Megan Hipwell is missing. Rachel becomes invested in the case and trying to find out what happened to Megan, where she is, and what exactly she herself was up to that same night Megan went missing.",infidelity train alcoholics anonymous alcoholic voyeurism 337 more ,85,3.848574644
Me Before You,2016,PG-13,Drama Romance ,20000000,208314186,Lou Clark knows lots of things. She knows how many footsteps there are between the bus stop and home. She knows she likes working in The Buttered Bun tea shop and she knows she might not love her boyfriend Patrick. What Lou doesn't know is she's about to lose her job or that knowing what's coming is what keeps her sane. Will Traynor knows a road accident took away his desire to live. He knows everything feels very small and rather joyless now and he knows exactly how he's going to put a stop to that. What Will doesn't know is that Lou is about to burst into his world in a riot of color. And neither of them knows they're going to change each other for all time.,quadriplegic euthanasia assisted suicide accident wheelchair 100 more ,124,10.4157093
Fantastic Beasts and Where to Find Them,2016,PG-13,Adventure Family Fantasy ,180000000,814044001,"In mid-1920s New York, Newt Scamander, a British young activist wizard, arrives in the city, holding a mysterious leather suitcase that shelters diverse and magical creatures that exist among us. Amid an already fragile equilibrium of secrecy, and the increasing disasters ascribed to the dark wizard, Gellert Grindelwald, Newt's precious suitcase goes missing, and to make matters worse, several creatures manage to escape. Before long, this unforeseen complication catches Senior Auror Percival Graves' attention who targets Newt, against the backdrop of an invisible, devastating, and utterly unpredictable menace that still wreaks havoc on 5th Avenue. In the end, is there a hidden agenda behind Graves' intentions? Moreover, what will happen to the remaining fantastic beasts that are still on the loose?",magic wizard suitcase based on novel magical creature 651 more ,141,4.522466672
Warcraft,2016,PG-13,Action Adventure Fantasy War ,160000000,439048914,"When the world of the Orcs of Draenor is being destroyed by the evil fel magic that uses life-force, the powerful warlock Gul'dan creates a portal to the world of Azeroth and forms the Horde with members of the Orc clans. He also captures many prisoners to keep the portal open. The king of Azeroth, Llane Wrynn and his brother-in-law, Anduin Lothar are informed by the apprentice of magician Khadgar that he has found fel magic in dead bodies and the king decides to summon the Guardian of Tirisfal, Medivh, to protect his kingdom. Lothar and Khadgar head to Kharazhan to meet Medivh and an ominous shadow points a book out to Khadgar, who takes it and hides. Anduin, Khadgar and Medivh and a group of soldiers are attacked by Orcs and they capture the slave Garona, who is released by King Llane, and she shows them the location of the portal. Garona is contacted by the Orc chief of a clan Durotan that wants to meet King Llane to stop the fel magic. Meanwhile Khadgar learns that the gate was opened with the help of someone in Azeroth. Shall King Llane trust Garona and Durotan, who might be the traitor?",based on video game orc fictional language sword and sorcery magician 353 more ,123,2.744055713
Live by Night,2016,R,Action Crime Drama Thriller ,108000000,22678555,"Boston, 1926. The '20s are roaring. Liquor is flowing, bullets are flying, and one man sets out to make his mark on the world. Prohibition has given rise to an endless network of underground distilleries, speakeasies, gangsters, and corrupt cops. Joe Coughlin, the youngest son of a prominent Boston police captain, has long since turned his back on his strict and proper upbringing. Now having graduated from a childhood of petty theft to a career in the pay of the city's most fearsome mobsters, Joe enjoys the spoils, thrills, and notoriety of being an outlaw. But life on the dark side carries a heavy price. In a time when ruthless men of ambition, armed with cash, illegal booze, and guns, battle for control, no one-neither family nor friend, enemy nor lover-can be trusted. Beyond money and power, even the threat of prison, one fate seems most likely for men like Joe: an early death. But until that day, he and his friends are determined to live life to the hilt. Joe embarks on a dizzying journey up the ladder of organized crime that takes him from the flash of Jazz Age Boston to the sensual shimmer of Tampa's Latin Quarter to the sizzling streets of Cuba. Live by Night is a riveting epic layered with a diverse cast of loyal friends and callous enemies, tough rumrunners and sultry femmes fatales, Bible-quoting evangelists and cruel Klansmen, all battling for survival and their piece of the American dream. At once a sweeping love story and a compelling saga of revenge, it is a spellbinding tour de force of betrayal and redemption, music and murder, that brings fully to life a bygone era when sin was cause for celebration and vice was a national virtue.",organized crime prohibition love revenge kkk 435 more ,129,0.20998662
Inferno,2016,PG-13,Action Adventure Crime Drama Mystery Thriller ,75000000,220021259,"Famous symbologist on a trail of clues tied to the great Dante himself. When Langdon wakes up in an Italian hospital with amnesia, he teams up with Sienna Brooks, a doctor he hopes will help him recover his memories. Together, they race across Europe and against the clock to stop a madman from unleashing a global virus that would wipe out half of the world's population.",amnesia church museum police virus 392 more ,121,2.933616787
The Legend of Tarzan,2016,PG-13,Action Adventure Drama Fantasy Romance ,180000000,356700357,"Following his parents' death in Africa, John Clayton has been be raised by an ape, was known by the name Tarzan, but eventually left Africa and for his parents' home in England, along with the woman he fell in love with and married, Jane Porter. He is asked by Belgian King Leopold to go to Africa to see what he has done there to help the country. Initially, he refuses. But an American, George Washington Williams, wants him to accept so he can accompany him. He says that Leopold might be committing all sorts of atrocities to achieve his goal, like slavery. Clayton agrees and his wife insists that she accompany him because she misses Africa. When they arrive, a man named Rom, who works for Leopold, attacks their village and captures Tarzan and Jane. With Washington's help he escapes and sets out to rescue Jane by going across the jungle. Washington joins him despite being told that he might not make it.",africa jungle slavery belgian rescue 327 more ,65,1.98166865
Silence,2016,R,Drama History ,46000000,23834809,"Intent on investigating the truth behind Father Cristovão Ferreira's abrupt end of correspondence, the devout Portuguese Catholic priests, Sebastião Rodrigues and Francisco Garupe, set off to Japan, in 1633. In great disbelief, as the rumours of Ferreira's apostasy still echo in their minds, the zealous Jesuit missionaries try to locate their mentor, amid the bloodshed of the violent anti-Christian purges. Under those circumstances, the two men and the Japanese guide, Kichijiro, arrive in Japan, only to witness firsthand the unbearable burden of those who have a different belief in a land founded on tradition. Now--as the powerful Grand Inquisitor, Inoue, performs hideous tortures on the brave Japanese Christians--Father Rodrigues will soon have to put his faith to the ultimate test: renounce it in exchange for the prisoners' lives. There, in the ends of the world, a subtle change has begun; however, why is God's silence so deafening?",portuguese religious persecution japan apostasy torture 101 more ,134,0.518148022
Pride and Prejudice and Zombies,2016,PG-13,Action Comedy Fantasy Horror Romance ,28000000,16457494,"The five highly trained Bennett sisters in Georgian England must try to protect themselves from the growing zombie threat, find suitable husbands for themselves, battle marriage proposals and unlikely suitors, and save the country before it's too late.",zombie england 19th century based on novel damsel in distress 328 more ,144,0.587767643
The Jungle Book,2016,PG,Adventure Comedy Drama Family Fantasy Musical ,175000000,966554929,"Living among the wolves in the jungle, young man cub Mowgli quickly learns to live life among his wolf pack and all the animals that inhabit the jungle, but when the villainous tiger Shere Khan threatens Mowgli's life, black panther Bagheera offers to take Mowgli to a nearby man village where he will be safe from the tiger's wrath. Along the way, Mowgli gets tangled up in a series of encounters with a sly snake named Kaa, a swimmingly ruthless gigantopithecus named King Louie and a lazy bear named Baloo, who quickly becomes his guide to the 'bear necessities' of life.",jungle tiger wolf black panther fire 127 more ,124,5.523171023
Nerve,2016,PG-13,Action Adventure Crime Drama Thriller ,19000000,85251425,"'Nerve' is about an online dare game, in which people give participants anonymous dares for money. The participants compete with each other to win the grand prize as the dares get tougher. Things get worse when the tasks get increasingly dangerous and lives are at stake.",dare game online game dark web tattoo 245 more ,123,4.486917105
How to Be Single,2016,R,Comedy Drama Romance ,38000000,112343513,"There's a right way to be single, a wrong way to be single, and then...there's Alice. And Robin. Lucy. Meg. Tom. David. New York City is full of lonely hearts seeking the right match, be it a love connection, a hook-up, or something in the middle. And somewhere between the teasing texts and one-night stands, what these unmarrieds all have in common is the need to learn how to be single in a world filled with ever-evolving definitions of love. Sleeping around in the city that never sleeps was never so much fun.",male objectification erection visible through clothing erection erect penis erotica 72 more ,65,2.956408237
Jack Reacher: Never Go Back,2016,PG-13,Action Crime Thriller ,60000000,162146076,"After accomplishing the assignment of dismantling a human trafficking organization, the former military and drifter Jack Reacher goes to Washington to invite his liaison, Major Susan Turner, to have dinner with him. However, he meets her substitute, Colonel Sam Morgan, who explains that Major Turner has been arrested and accused of espionage. Jack seeks out her veteran lawyer, Colonel Bob Moorcroft, who explains that Major Turner has also been accused of the murders of two soldiers in Afghanistan. Further, he also tells Jack he is being sued, accused by a woman of being the father of her fifteen year-old daughter, Samantha. When Moorcroft is murdered, Jack is accused of being the killer and sent to a prison. He sees that Turner and he have been framed and also that Turner will be killed by two assassins. However, he rescues her and they flee. Soon, they realize that there is a conspiracy involving military people from the army and a government contractor that is a powerful arms dealer. Jack also learns that Samantha is in danger and Turner and he rescue her. They decide to protect her since a skilled assassin is hunting them down while they try to find the motive of the conspiracy. Who can be trusted?",sequel literary adaptation second part restaurant kitchen kitchen fight 416 more ,145,2.7024346
Alice Through the Looking Glass,2016,PG,Adventure Family Fantasy Mystery ,170000000,299820798,"Alice returns to the magical world of Underland, only to find the Hatter in a horrible state. With the help of her friends, Alice must travel through time to save the Mad Hatter and Underland's fate from the evil clutches of the Red Queen and a clock like creature, known as Time.",alice character alice in wonderland mad hatter queen time travel 94 more ,95,1.763651753
The 5th Wave,2016,PG-13,Action Adventure Sci-Fi Thriller ,38000000,109906372,"Four waves of increasingly deadly attacks have left most of Earth in ruin. Against a backdrop of fear and distrust, Cassie is on the run, desperately trying to save her younger brother. As she prepares for the inevitable and lethal fifth wave, Cassie teams up with a young man who may become her final hope - if she can only trust him.",alien based on novel male objectification invasion kiss 333 more ,85,2.892272947
Allegiant,2016,PG-13,Action Adventure Mystery Sci-Fi Thriller ,110000000,179246868,"After the earth-shattering revelations of INSURGENT, Tris must escape with Four and go beyond the wall enclosing Chicago. For the first time ever, they will leave the only city and family they have ever known. Once outside, old discoveries are quickly rendered meaningless with the revelation of shocking new truths. Tris and Four must quickly decide who they can trust as a ruthless battle ignites beyond the walls of Chicago which threatens all of humanity. In order to survive, Tris will be forced to make impossible choices about courage, allegiance, sacrifice and love.",based on young adult novel dystopia tough girl surveillance based on novel 233 more ,122,1.629516982
The Light Between Oceans,2016,PG-13,Drama Romance ,20000000,25975621,"Tom, a war weary man takes a job as a lighthouse keeper on an island for the solitude. He meets a beautiful young woman, Isabelle and they eventually marry. One day they see a small dingy with an infant and man inside floating in the ocean. They rush to rescue them only to find the man is dead. They struggle over the decision to report it and whether to keep the baby. Heartbroken because she had already had miscarriages twice, Isabelle persuades Tom not to tell anyone about this and leave the girl to herself as if it were their child. He buries the man on the island, and the couple names the girl Lucy. He succumbs to her persuasion just to make her happy. It's only years later that they discover that the child still has a mother looking for her.",lighthouse husband wife relationship lighthouse keeper loss of husband 1920s 64 more ,151,1.29878105
A Hologram for the King,2016,R,Comedy Drama Romance ,30000000,9169507,A failed American sales rep looks to recoup his losses by traveling to Saudi Arabia and selling his company's product to a wealthy monarch.,backhoe male in a shower skin diving overhead camera shot cell phone 292 more ,143,0.305650233
Ben-Hur,2016,PG-13,Action Adventure Drama History ,100000000,94061311,"A Jewish nobleman, Judah Ben-Hur, and his adopted Roman brother Messala are best friends despite their different origins. Messala enlists in the Roman army and fights in the Roman Empire's wars in Germany. Ben-Hur also develops feelings for the family slave Esther although their different station in life compels him not to pursue her. But when her father Simonides seeks to marry her off to a Roman, Ben-Hur declares his love for her and takes her as his wife. Three years later, Messala returns as a decorated Roman officer. His return coincides with a rising insurrection by the Zealots, Jews who are opposed to the oppressive nature of Roman rule..",remake 1st century based on novel palestine remake of remake 265 more ,123,0.94061311
Blood Father,2016,R,Action Crime Drama Thriller ,13000000,6903033,"Self-exiled somewhere in the dusty landscapes on the outskirts of Los Angeles, John Link--a rugged former convict, and now, a tattoo artist struggling to stay sober--sees his quasi-orderly life turn upside down, when he receives a desperate phone call from his estranged daughter, Lydia. On the run from a ruthless Mexican drug cartel, John and Lydia must navigate through a dangerous world of frail allegiances and merciless cut-throats, as they seek shelter in an inhospitable city. Can the grizzled father save his teenage daughter from this nightmare?",ex convict father daughter relationship on the run ex con religious faith 363 more ,142,0.531002538
Billy Lynn's Long Halftime Walk,2016,R,Action Drama Sport Thriller War ,40000000,30930984,"2-time Academy Award® winner Ang Lee brings his extraordinary vision to Billy Lynn's Long Halftime Walk, based on the widely-acclaimed, bestselling novel. The film is told from the view of 19-year-old private Billy Lynn (newcomer Joe Alwyn) who, along with fellow soldiers, is hailed as a 'hero' after a harrowing Iraq battle. He'is brought home for a victory tour. Through flashbacks, the film reveals what really happened to the squad - contrasting the realities of the war with America's perceptions. The film also stars Kristen Stewart, Chris Tucker, Garrett Hedlund, with Vin Diesel, and Steve Martin.",based on novel flashback thanksgiving day iraq war character name in title 407 more ,95,0.7732746
The Young Messiah,2016,PG-13,Drama Fantasy ,18500000,7330338,"At the age of 7, Jesus Bar-Joseph lives with his family in Alexandria, Egypt, where they have fled to avoid a massacre of children by King Herod of Israel. Jesus knows that his parents Joseph and Mary have secrets they are keeping from him, secrets about his birth and about traits that make him very different from other boys. His parents, however, believe him too young to grasp the truth of his miraculous birth and purpose. Learning that the murderous Herod is dead, they set out to return to their home of Nazareth in Israel, unaware that Herod's namesake son is, like his father, determined to see the boy Jesus dead.",israel jesus christ character 1st century messiah based on novel ,75,0.396234486
Fitoor,2016,UNKNOWN,Drama Romance ,9000000,3454709,"A poor but talented Kashmiri boy Noor, is hired as a stable-keeper by Begum. He is deeply infatuated with her daughter Firdaus. Begum notices his actions and sends Firdaus to London. She asks Noor to become successful in order to win Firdaus' love. When he grows up, he becomes one of the most successful young artist of India. But Begum has another plans to demolish his desires.",dancing artist love class differences snow 4 more ,131,0.383856556
Kontributsiya,2016,UNKNOWN,Adventure History Mystery ,3700000,85193,"Drama detective thriller in the best traditions of Agatha Christie. An immediate investigation starts following the disappearance of a diamond. Each of the people gathered in the room is the suspected and the detective's life is being on the line, as he will be executed if does not solve the crime. Brilliant dialogues, intelligent plot, tense moments and unexpected twists as more information is revealed step by step in the puzzle crime.",russian civil war white terror death penalty perm russia martial law 11 more ,64,0.023025135
Fifty Shades of Grey,2015,R,Drama Romance Thriller ,40000000,569651467,"Anastasia Steele, an English literature major at Washington State University, agrees to interview for the college newspaper a billionaire, Christian Grey, as a favour to her roommate, Kate Kavanagh. During the interview, Christian Grey takes an interest in Anastasia. Soon after it, he visits the hardware store where Anastasia works and offers her to do a photo shoot to accompany the article for which Anastasia had interviewed him. Later, Grey invites her to a cafe and also sends her first edition copies of two Thomas Hardy novels, including Tess of the d'Urbervilles, with a quote from the latter book about the dangers of relationships, on an accompanying card. His pursuing eventually brings a result - Anastasia and Grey start dating. In the course of their troubled relationship Anastasia slowly comes to uncover Grey's troubled past and realises that he is not good for any woman, let alone for himself. Although, she enjoys the bondage sex with Grey, she feels that she has to make a step that will take her all her strength and courage, for Christian Grey is a very dangerous man.",female nudity spanking sex scene perversion male pubic hair 144 more ,125,14.24128668
Goosebumps,2015,PG,Adventure Comedy Family Fantasy Horror ,58000000,158261424,"After moving to a new small town, teenage Zach Cooper (Dylan Minnette) meets the beautiful girl next door, Hannah (Odeya Rush). But every silver lining has a cloud, and Zach's comes when he learns that Hannah has a mysterious dad who is revealed to be R. L. Stine (Jack Black), the author of the bestselling Goosebumps series. It turns out that there is a reason why Stine is so strange - he is a prisoner of his own imagination - the monsters that his books made famous are real, and Stine protects his readers by keeping them locked up in their books. Zach unintentionally unleashes the monsters from their manuscripts and they begin to terrorize the town. It's up to Stine, Zach, Hannah, and Zach's friend Champ (Ryan Lee) to put all the monsters back in their books.",monster ferris wheel abandoned amusement park ventriloquist dummy manuscript 61 more ,94,2.728645241
The Revenant,2015,R,Action Adventure Drama History Western ,135000000,532950503,"While exploring uncharted wilderness in 1823, legendary frontiersman Hugh Glass sustains injuries from a brutal bear attack. When his hunting team leaves him for dead, Glass must utilize his survival skills to find a way back home while avoiding natives on their own hunt. Grief-stricken and fueled by vengeance, Glass treks through the wintry terrain to track down John Fitzgerald, the former confidant who betrayed and abandoned him.",survival bear attack left to die fur based on true story 347 more ,183,3.947781504
The Martian,2015,PG-13,Adventure Drama Sci-Fi ,108000000,630162448,"During a manned mission to Mars, Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find a way to signal to Earth that he is alive. Millions of miles away, NASA and a team of international scientists work tirelessly to bring ""the Martian"" home, while his crewmates concurrently plot a daring, if not impossible, rescue mission. As these stories of incredible bravery unfold, the world comes together to root for Watney's safe return.",astronaut space habitat left for dead presumed dead nasa 279 more ,162,5.834837481
Room,2015,R,Drama Thriller ,13000000,35401758,"ROOM tells the extraordinary story of Jack, a spirited 5-year-old who is looked after by his loving and devoted mother. Like any good mother, Ma dedicates herself to keeping Jack happy and safe, nurturing him with warmth and love and doing typical things like playing games and telling stories. Their life, however, is anything but typical--they are trapped--confined to a 10-by-10-foot space that Ma has euphemistically named Room. Ma has created a whole universe for Jack within Room, and she will stop at nothing to ensure that, even in this treacherous environment, Jack is able to live a complete and fulfilling life. But as Jack's curiosity about their situation grows, and Ma's resilience reaches its breaking point, they enact a risky plan to escape, ultimately bringing them face-to-face with what may turn out to be the scariest thing yet: the real world.",escape kidnapping mother son relationship imprisonment unlawful confinement 85 more ,145,2.723212154
The Hunger Games: Mockingjay - Part 2,2015,PG-13,Action Adventure Sci-Fi Thriller ,160000000,658344137,"After young Katniss Everdeen agrees to be the symbol of rebellion, the Mockingjay, she tries to return Peeta to his normal state, tries to get to the Capitol, and tries to deal with the battles coming her way...but all for her main goal: assassinating President Snow and returning peace to the Districts of Panem. As her squad starts to get smaller and smaller, will she make it to the Capitol? Will she get revenge on Snow or will her target change? Will she be with her ""Star-Crossed Lover,"" Peeta, or her long-time friend, Gale? Deaths, bombs, bow and arrows, a love triangle, hope... What will happen?",dystopia rebellion revolution brainwashing execution 306 more ,191,4.114650856
Victor Frankenstein,2015,PG-13,Drama Horror Sci-Fi Thriller ,65000000,34227298,"James McAvoy and Daniel Radcliffe star in a dynamic and thrilling twist on a legendary tale. Radical scientist Victor Frankenstein (McAvoy) and his equally brilliant protégé Igor Strausman (Radcliffe) share a noble vision of aiding humanity through their groundbreaking research into immortality. But Victor's experiments go too far, and his obsession has horrifying consequences. Only Igor can bring his friend back from the brink of madness and save him from his monstrous creation.",frankenstein's monster scientist victorian era gothic horror based on novel 217 more ,65,0.526573815
The Danish Girl,2015,R,Biography Drama Romance ,15000000,64191523,"Copenhagen, Denmark, 1926. Einar Wegener (played by Eddie Redmayne) and his wife Gerda (Alicia Vikander) are a happily married couple. Both are artists, Einar preferring landscapes and she portraits. One day Einar poses for a portrait of Gerda's while wearing a dress. This is initially done as a lark, as is the later attendance at a party dressed as a woman. However, Einar soon discovers that she is in fact a woman and over time prefers being Lili. At first she and Gerda try to have her situation ""cured"" but this leads nowhere (other than to many doctors trying to have Lili locked up as a pervert and/or lunatic). Her voyage of self-discovery will ultimately lead to her undergoing the first ever sex-change operation.",transgender gender identity 1920s lgbtq copenhagen denmark 96 more ,155,4.279434867
Carol,2015,R,Drama Romance ,11800000,40272135,"In an adaptation of Patricia Highsmith's seminal novel The Price of Salt, CAROL follows two women from very different backgrounds who find themselves in an unexpected love affair in 1950s New York. As conventional norms of the time challenge their undeniable attraction, an honest story emerges to reveal the resilience of the heart in the face of change. A young woman in her 20s, Therese Belivet (Rooney Mara), is a clerk working in a Manhattan department store and dreaming of a more fulfilling life when she meets Carol (Cate Blanchett), an alluring woman trapped in a loveless, convenient marriage. As an immediate connection sparks between them, the innocence of their first encounter dims and their connection deepens. While Carol breaks free from the confines of marriage, her husband (Kyle Chandler) begins to question her competence as a mother as her involvement with Therese and close relationship with her best friend Abby (Sarah Paulson) come to light.",lesbian romance lesbian road trip child custody photographer 100 more ,145,3.412892797
Maze Runner: The Scorch Trials,2015,PG-13,Action Adventure Sci-Fi Thriller ,61000000,312296056,"The second chapter of the epic ""Maze Runner"" saga. Thomas (Dylan O'Brien) and his fellow Gladers face their greatest challenge yet: searching for clues about the mysterious and powerful organization known as WCKD. Their journey takes them to the Scorch, a desolate landscape filled with unimaginable obstacles. Teaming up with resistance fighters, the Gladers take on WCKD's vastly superior forces and uncover its shocking plans for them all.",escape desert cure zombie evil corporation 187 more ,131,5.119607475
Brooklyn,2015,PG-13,Drama Romance ,11000000,62402155,"Ireland, early 1950s. Eilis Lacey (Saoirse Ronan) is a young woman working in a grocery shop. She has greater ambitions and moves to Brooklyn, New York, leaving her mother and sister, Rose (Fiona Glascott), behind. She is terribly homesick but eventually settles down, finding a job, studying to be a bookkeeper and meeting a nice young Italian man, Tony Fiorello (Emory Cohen). Things are going well, but then she learns that Rose has died, and decides to return to Ireland, temporarily. She and Tony hastily get married, and then she sets off back to Ireland, alone. Life is about to get complicated.",irish immigrant immigrant 1950s irish accent brooklyn new york city 241 more ,135,5.672923182
The Dressmaker,2015,R,Comedy Drama ,17000000,25003426,"Based on Rosalie Ham's best selling novel, The Dressmaker is the story of femme fatale Tilly Dunnage who returns to her small home town in the country to right the wrongs of the past. A stylish drama with comic undertones about love, revenge and haute couture.",f rated australia costume designer haute couture femme fatale 307 more ,155,1.470789765
The Divergent Series: Insurgent,2015,PG-13,Action Adventure Sci-Fi Thriller ,110000000,297002527,"As she searches for allies and answers in the wake of the uprising, Tris and Four are on the run. Being hunted by Jeanine Matthews, the leader of the Erudite faction, Tris and Four will race against time as they try to figure out what Abnegation sacrificed their lives to protect, and why the Erudite leaders will do anything to stop them. Haunted by her past choices but desperate to protect the ones she loves, Tris faces one impossible challenge after another as she unlocks the truth about the past and ultimately the future of her world.",on the run action heroine truth serum trainhopping falling from height 265 more ,155,2.700022973
Home,2015,PG,Animation Adventure Comedy Family Fantasy Sci-Fi ,135000000,386041607,"When Oh, a loveable misfit from another planet, lands on Earth and finds himself on the run from his own people, he forms an unlikely friendship with an adventurous girl named Tip who is on a quest of her own. Through a series of comic adventures with Tip, Oh comes to understand that being different and making mistakes is all part of being human. And while he changes her planet and she changes his world, they discover the true meaning of the word HOME.",alien human friendship interspecies friendship outer space 45 more ,103,2.859567459
Child 44,2015,R,Crime Drama History Mystery Thriller ,50000000,12951093,"Based on the first of a trilogy by Tom Rob Smith and set in the Stalin era of the Soviet Union. The plot is about an idealistic pro-Stalin security officer who decides to investigate a series of child murders in a country where supposedly this sort of crime doesn't exist. The state would not hear of the existence of a child murderer let alone a serial killer. He gets demoted and exiled but decides, with just the help of his wife, to continue pursuing the case.",murder of a child totalitarian state totalitarian regime soviet union serial killer 169 more ,191,0.25902186
Beasts of No Nation,2015,TV-MA,Drama War ,6000000,90777,"Follows the journey of a young boy, Agu, who is forced to join a group of soldiers in a fictional West African country. While Agu fears his commander and many of the men around him, his fledgling childhood has been brutally shattered by the war raging through his country, and he is at first torn between conflicting revulsion and fascination Depicts the mechanics of war and does not shy away from explicit, visceral detail, and paints a complex, difficult picture of Agu as a child soldier.",child soldier civil war guerrilla warfare boy with a gun military convoy 63 more ,191,0.0151295
Pan,2015,PG,Adventure Comedy Family Fantasy ,150000000,128388320,"An orphan boy (Levi Miller) discovers his destiny as Peter Pan in this vividly realized fantasy, and is whisked away to an enchanted land to battle the fearsome pirate Blackbeard (Hugh Jackman) with the help of the warrior woman Tiger Lily (Rooney Mara)..",orphan child hero 1940s reference to peter pan journey 259 more ,75,0.855922133
Mortdecai,2015,R,Action Adventure Comedy Crime Mystery ,60000000,47275717,"Juggling some angry Russians, the British Mi5, his impossibly leggy wife and an international terrorist, debonair art dealer and part-time rogue Charlie Mortdecai must traverse the globe armed only with his good looks and special charm in a race to recover a stolen painting rumored to contain the code to a lost bank account filled with Nazi gold.",art dealer macguffin burning a portrait false portrait fired from a job 383 more ,134,0.787928617
Wild Card,2015,R,Action Crime Drama Thriller ,30000000,6738764,"Nick Wild (Jason Statham) is a Las Vegas bodyguard with lethal professional skills and a personal gambling problem. When a friend is beaten by a sadistic thug, Nick strikes back, only to find out the thug is the son of a powerful mob boss. Suddenly Nick is plunged into the criminal underworld, chased by enforcers and wanted by the mob. Having raised the stakes, Nick has one last play to change his fortunes...and this time, it's all or nothing.",female frontal nudity female nudity gang rape penis cut brutality 229 more ,83,0.224625467
Me and Earl and the Dying Girl,2015,PG-13,Comedy Drama ,8000000,9074749,"Seventeen-year-old Greg has managed to become part of every social group at his Pittsburgh high school without having any friends, but his life changes when his mother forces him to befriend Rachel, a girl he once knew in Hebrew school who has leukemia.ndnd",terminal illness leukemia teenage boy death aspiring filmmaker 246 more ,114,1.134343625
Paper Towns,2015,PG-13,Adventure Comedy Drama Mystery Romance ,12000000,85512300,"Adapted from the bestselling novel by author John Green, PAPER TOWNS is a coming-of-age story centering on Quentin and his enigmatic neighbor Margo, who loved mysteries so much she became one. After taking him on an all-night adventure through their hometown, Margo suddenly disappears - leaving behind cryptic clues for Quentin to decipher. The search leads Quentin and his quick-witted friends on an exhilarating adventure that is equal parts hilarious and moving. Ultimately, to track down Margo, Quentin must find a deeper understanding of true friendship - and true love.",based on novel travel teenage girl unrequited love friendship 67 more ,154,7.126025
Dark Places,2015,R,Crime Drama Mystery Thriller ,20000000,5090852,"Libby Day is a lifeless woman who survived the massacre of her family in their farmhouse in the countryside of Kansas when she was eight. She's been living on donations and lectures ever since. Thirty years ago, the police believed that a satanic cult was responsible for the murder of her mother and two sisters, and her brother Ben was convicted with her testimony in court. Today, however, an acquaintance, Lyle Wirth, invites Libby to visit ""The Kill Club"", where amateurs investigate famous crimes, and she finds that they believe Ben is innocent. Libby needs money and, in return, accepts to revisit the slaughter of her family and comes up to the painful revelations and the ultimate truth.",private investigator murder of family farm murder of mother sex 352 more ,95,0.2545426
The Diary of a Teenage Girl,2015,R,Comedy Drama Romance ,2000000,1775133,A teen artist living in 1970s San Francisco enters into an affair with her mother's boyfriend.,sex mother's boyfriend lesbian kiss oral sex sexual promiscuity 104 more ,84,0.8875665
Z for Zachariah,2015,PG-13,Drama Romance Sci-Fi Thriller ,7500000,381839,"In the wake of a disaster that wipes out most of civilization, two men and a young woman find themselves in an emotionally charged love triangle as the last known survivors.",post apocalypse love triangle based on novel black male white female relationship stranger 47 more ,143,0.050911867
The Gunman,2015,R,Action Adventure Crime Thriller ,40000000,24177137,"A sniper on a mercenary assassination team, working for an unknown client, kills the minister of mines of the Congo. Terrier's (Sean Penn's) successful kill shot forces him to go into hiding to protect himself and the members of the team from retribution. This includes abruptly abandoning his girlfriend who has no idea what is going on. The assassination, paid for by a foreign mining company, triggers wide spread chaos and death in an already inflamed Congo. Terrier returns to the Congo years later working for an NGO, but eventually finds himself to be the target of a paid hit squad somehow connected to the ministers assassination. This leads to immediate deaths and the endangerment of the people working around him, and forces him back into hiding. In trying to discover who has put a price on his head, he begins to reconnect to the members of his old assassination team, including his old girlfriend. Always aware there is no path to redemption for his crimes, he is also periodically incapacitated by a type of accumulated and evolving physical brain damage caused by the hard knocks of his occupation. Unexpectedly, given the time that has elapsed, his reconnection to his old assassination team exposes additional intrigues with immediate deadly consequences. All of his years spent in hiding, have merely delayed the twisted end game that now enfolds.",blood vomiting interpol kicked in the face eye gouging impalement 193 more ,115,0.604428425
