,SearchTerm,Year,Link1,AdaptationOf,Link2,published_x,author_x,series_x,rating_x,charnum_x,awardnum_x
208,Come Out and Play (It's a Kid's World),,/work/5529001,,,2001.0,by Maya Ajmera,0.0,,1.0,1.0
209,La Vida Precoz y Breve de Sabina Rivas,,/work/15079585,,,,by Mandoki,0.0,,1.0,1.0
210,A.C.A.B.: All Cops Are Bastards {Movie},,/work/13186031,,,,by Stefano Sollima,0.0,-3.0,1.0,1.0
211,Thérèse Desqueyroux ,2012,/work/22161989,Thérèse Raquin,/work/1536,1867.0,by Émile Zola,0.0,-3.77,8.0,6.0
212,Les Liaisons Dangereuses,,/work/32388,,,1782.0,by Pierre Choderlos de Laclos,0.0,-4.11,5.0,9.0
213,Blue Like Jazz,,/work/4121,,,2003.0,by Donald Miller,0.0,-3.91,1.0,1.0
214,Another Women's Life ,2012,/work/13629324,,,,,,,,
215,The Spy: A Tale of the Neutral Ground,,/work/359702,,,1836.0,by James Fenimore Cooper,0.0,-3.33,1.0,1.0
216,Harry Potter and the Deathly Hallows: Part 2 ,2011,/work/11749612,Harry Potter and the Deathly Hallows,/work/3577382,,by J. K. Rowling,1.0,-4.42,67.0,29.0
217,The Girl with the Dragon Tattoo ,2011,/work/12479303,The Girl with the Dragon Tattoo,/work/1541442,2005.0,by Stieg Larsson,1.0,-4.02,15.0,19.0
218,Drive ,2011,/work/12361579,Drive: The Surprising Truth About What Motivates Us,/work/8891693,2009.0,by Daniel H. Pink,0.0,-3.85,1.0,1.0
219,Something Borrowed ,2011,/work/12899728,Something Borrowed,/work/21617,2004.0,by Emily Giffin,1.0,-3.71,8.0,1.0
220,The Help ,2011,/work/12207641,The Help,/work/8019757,2009.0,by Kathryn Stockett,0.0,-4.36,15.0,23.0
221,The Lincoln Lawyer ,2011,/work/11584272,The Lincoln Lawyer,/work/25501,,by Michael Connelly,1.0,-3.91,5.0,8.0
222,I Am Number Four,,/work/9835425,,,,by Pittacus Lore,1.0,-3.58,9.0,7.0
223,We Need to Talk About Kevin ,2011,/work/17051694,We Need to Talk about Kevin,/work/8282,2003.0,by Lionel Shriver,0.0,-4.09,4.0,6.0
224,Hugo ,2011,/work/12357429,The Invention of Hugo Cabret,/work/1729243,2007.0,"by Brian Selznick, Brian Selznick (Illustrator)",0.0,-4.3,9.0,36.0
225,One Day ,2011,/work/16539213,One Day,/work/8101931,2009.0,by David Nicholls,0.0,-3.71,21.0,9.0
226,The Descendants ,2011,/work/12479306,The Descendants,/work/2499168,2007.0,by Kaui Hart Hemmings,0.0,-3.86,1.0,2.0
227,The Three Musketeers ,2011,/work/12335761,The Three Musketeers,/work/3745066,1844.0,by Alexandre Dumas Père,1.0,-4.07,10.0,21.0
228,Conan the Barbarian ,2011,/work/14543505,Conan The Barbarian,/work/501367,,"by L. Sprague de Camp, Lin Carter",1.0,-3.38,13.0,1.0
229,The Best Exotic Marigold Hotel ,2011,/work/12825640,These Foolish Things,/work/8278,2004.0,by Deborah Moggach,0.0,-3.4,16.0,1.0
230,Unknown ,2011,/work/15925760,Hors de moi,/work/1391861,2003.0,by Didier van Cauwelaert,0.0,-3.03,1.0,1.0
231,Priest ,2011,/work/14414162,Priest [1994 film],/work/4195814,,"by Antonia Bird (Director), Jimmy McGovern (Writer)",0.0,-3.75,1.0,1.0
232,War Horse ,2011,/work/12122122,War Horse,/work/696577,1982.0,by Michael Morpurgo,1.0,-4.02,6.0,6.0
233,Diary of a Wimpy Kid: Rodrick Rules,,/work/5145202,,,2008.0,by Jeff Kinney,1.0,-4.06,4.0,4.0
234,Water for Elephants ,2011,/work/12073931,Water for Elephants,/work/522063,2006.0,by Sara Gruen,0.0,-4.07,12.0,10.0
235,Beastly ,2011,/work/13200804,Beastly,/work/5141188,2007.0,by Alex Flinn,1.0,-3.71,4.0,9.0
236,The Rum Diary,,/work/15673859,The Rum Diary : A Novel,/work/3313427,1998.0,by Hunter S. Thompson,0.0,-3.73,6.0,1.0
237,Killer Elite ,2011,/work/12211877,The Feather Men,/work/450587,,by Sir Ranulph Fiennes,0.0,-3.8,1.0,1.0
238,The Eagle {2011 film},,/work/10694838,The Eagle of the Ninth,/work/10028,1954.0,by Rosemary Sutcliff,1.0,-4.03,12.0,3.0
239,Mr. Popper's Penguins ,2011,/work/14461889,Mr. Popper's Penguins,/work/33809,1938.0,"by Richard Atwater, Florence Atwater",0.0,-3.87,4.0,5.0
240,Atlas Shrugged: Part One,,/work/16647950,,,,"by Paul Johansson (Director), Ayn Rand (Author)",1.0,-3.0,1.0,1.0
241,The Flowers of War ,2011,/work/15812318,The War of the Flowers,/work/45618,2003.0,by Tad Williams,0.0,-3.82,1.0,1.0
242,Red Dog ,2011,/work/27101199,Red Dog,/work/9973,2001.0,by Louis De Bernières,0.0,-3.67,3.0,1.0
243,3-D Sex and Zen: Extreme Ecstasy,,,,,,,,,,
244,You are the Apple of My Eye (China Version),,/work/17840089,,,,by Giddens KO,0.0,,1.0,1.0
245,Snow Flower and the Secret Fan ,2011,/work/15524618,Snow Flower and the Secret Fan,/work/20106,2005.0,by Lisa See,0.0,-4.01,9.0,7.0
246,You and I ,2011,/work/17271230,I Am America (And So Can You!),/work/3093980,,by Stephen Colbert,0.0,-3.76,1.0,4.0
247,Salvation Boulevard: A Novel,,/work/6215601,,,,by Larry Beinhart,0.0,-3.75,1.0,1.0
248,Homo Zapiens,,/work/23647,,,,by Viktor Pelevin,0.0,-3.65,1.0,3.0
249,Shutter Island ,2010,/work/5487664,Shutter Island,/work/13697,2003.0,by Dennis Lehane,0.0,-3.9,7.0,6.0
250,Alice in Wonderland ,2010,/work/10015891,Alice's Adventures in Wonderland,/work/8288,1865.0,by Lewis Carroll,1.0,-3.99,32.0,45.0
251,True Grit ,2010,/work/11793033,True Grit,/work/3742863,1968.0,by Charles Portis,0.0,-4.14,7.0,4.0
252,Let Me In ,2010,/work/14352846,Let The Right One In,/work/662641,2004.0,by John Ajvide Lindqvist,0.0,-4.0,17.0,11.0
253,How to Train Your Dragon ,2010,/work/10544532,How to Train Your Dragon,/work/1642,2003.0,by Cressida Cowell,1.0,-3.85,14.0,2.0
254,The Twilight Saga: Eclipse ,2010,/work/11504863,Eclipse,/work/8461488,2007.0,by Stephenie Meyer,1.0,-3.82,32.0,7.0
255,Diary of a Wimpy Kid ,2010,/work/11939276,Diary of a Wimpy Kid,/work/14038411,,by Jeff Kinney,1.0,-3.98,8.0,26.0
256,The Chronicles of Narnia: The Voyage of the Dawn Treader ,2010,/work/11184889,The Voyage of the Dawn Treader,/work/1182720,1952.0,by C. S. Lewis,1.0,-4.03,20.0,3.0
257,Never Let Me Go ,2010,/work/11705932,Never Let Me Go,/work/7244,2005.0,by Kazuo Ishiguro,0.0,-3.81,9.0,21.0
258,Flipped ,2010,/work/13076936,Flipped,/work/3032091,,by Wendelin Van Draanen,0.0,-3.86,2.0,21.0
259,Eat Pray Love ,2010,/work/11067936,"Eat, Pray, Love",/work/654973,2006.0,by Elizabeth Gilbert,0.0,-3.54,16.0,4.0
260,Winter's Bone ,2010,/work/11659176,Winter's Bone,/work/325488,2006.0,by Daniel Woodrell,0.0,-3.99,4.0,5.0
261,It's Kind of a Funny Story ,2010,/work/17034045,It's Kind of a Funny Story,/work/337509,2006.0,by Ned Vizzini,0.0,-3.96,17.0,5.0
262,The American ,2010,/work/10990158,The American,/work/28852,1877.0,by Henry James,0.0,-3.69,6.0,1.0
263,Dear John ,2010,/work/8467149,Dear John,/work/1556319,2006.0,by Nicholas Sparks,0.0,-3.73,7.0,2.0
264,The Ghost Writer ,2010,/work/11680145,The Ghost Writer,/work/7251,1979.0,by Philip Roth,1.0,-3.67,3.0,7.0
265,The Secret World of Arrietty ,2010,/work/14686161,The Borrowers,/work/34289,1952.0,by Mary Norton,1.0,-3.89,3.0,7.0
266,Ramona and Beezus ,2010,/work/16455838,Beezus and Ramona,/work/2236378,1955.0,by Beverly Cleary,1.0,-3.93,4.0,1.0
267,The Last Song ,2010,/work/14746940,The Last Song,/work/8221836,,by Nicholas Sparks,0.0,-3.99,2.0,3.0
268,Legend of the Guardians: The Owls of Ga'Hoole ,2010,/work/16651790,The Capture,/work/96135,2003.0,by Kathryn Lasky,1.0,-3.77,2.0,4.0
269,Gulliver's Travels ,2010,/work/13321924,Gulliver's Travels,/work/3373,1726.0,by Jonathan Swift,0.0,-3.7,2.0,32.0
270,Twelve ,2010,/work/17357315,Twelve,/work/151853,,by Nick McDonell,0.0,-3.13,1.0,1.0
271,The Experiment,,/work/358875,,,,by K. A. Applegate,1.0,-3.49,8.0,1.0
272,The Killer Inside Me ,2010,/work/13758458,The Killer Inside Me,/work/2144,1952.0,by Jim Thompson,0.0,-3.9,10.0,5.0
273,Charlie St. Cloud ,2010,/work/11682694,Charlie St. Cloud,/work/4967722,2004.0,by Ben Sherwood,0.0,-3.77,3.0,1.0
274,"Tomorrow, When the War Began",,/work/112269,,,1993.0,by John Marsden,1.0,-4.06,8.0,13.0
275,Barney's Version ,2010,/work/11345059,Barney's Version,/work/29158,1997.0,by Mordecai Richler,0.0,-4.04,2.0,10.0
276,London Boulevard ,2010,/work/12746010,London Boulevard,/work/8301585,2001.0,by Ken Bruen,0.0,-3.87,7.0,1.0
277,7 Days,,/work/17026649,,,,by Daniel Grou,0.0,-2.0,1.0,1.0
278,Brighton Rock ,2010,/work/16616844,Brighton Rock,/work/7137,1938.0,by Graham Greene,0.0,-3.72,4.0,8.0
279,Spud,,/work/1629281,,,2005.0,by John van de Ruit,1.0,-3.83,5.0,2.0
280,The extra man,,/work/71572,,,,by Jonathan Ames,0.0,-3.65,1.0,1.0
281,Radio Free Albemuth ,2010,/work/17266827,Radio Free Albemuth,/work/6905762,1985.0,by Philip K. Dick,1.0,-3.62,4.0,1.0
282,Blood Done Sign My Name,,/work/12730,,,,by Timothy B. Tyson,0.0,-4.27,4.0,2.0
283,Ways To Live Forever,,/work/7499542,,,2008.0,by Sally Nicholls,0.0,-4.22,1.0,10.0
284,Gigola (French Edition),,/work/11338868,,,,by Laure Charpentier,0.0,,1.0,1.0
285,400 Contra 1: Uma História do Crime Organizado,,,,,,,,,,
286,Coraline ,2009,/work/9400319,Coraline,/work/4183,2002.0,by Neil Gaiman,0.0,-3.99,11.0,31.0
287,Watchmen ,2009,/work/8640254,Watchmen,/work/7233,1986.0,"by Alan Moore (Writer), Dave Gibbons (Illustrator)",1.0,-4.32,53.0,20.0
288,Harry Potter and the Half-Blood Prince ,2009,/work/9247113,Harry Potter and the Half-Blood Prince,/work/1133624,2005.0,by J. K. Rowling,1.0,-4.36,49.0,16.0
289,Fantastic Mr. Fox {2009 film},,/work/9333649,Fantastic Mr. Fox,/work/6446,1970.0,by Roald Dahl,0.0,-3.91,5.0,6.0
290,Sherlock Holmes ,2009,/work/9768880,The Complete Sherlock Holmes,/work/24420,1930.0,by Sir Arthur Conan Doyle,1.0,-4.43,7.0,4.0
291,The Lovely Bones ,2009,/work/11395974,The Lovely Bones,/work/4931,2002.0,by Alice Sebold,0.0,-3.7,17.0,31.0
292,The Girl with the Dragon Tattoo ,2009,/work/11108345,The Girl with the Dragon Tattoo,/work/1541442,2005.0,by Stieg Larsson,1.0,-4.02,15.0,19.0
293,The Twilight Saga: New Moon ,2009,/work/11118736,New Moon,/work/2299193,2006.0,by Stephenie Meyer,1.0,-3.66,37.0,11.0
294,The Road ,2009,/work/10224090,The Road,/work/1222607,2006.0,by Cormac McCarthy,0.0,-4.06,6.0,28.0
295,Up in the Air ,2009,/work/4791742,Up in the Air,/work/108871,2001.0,by Walter Kirn,0.0,-3.02,1.0,3.0
296,The Secret In Their Eyes ,2009,/work/9952593,The Secret in Their Eyes,/work/8816389,,by Eduardo Sacheri,0.0,-4.16,2.0,1.0
297,A Single Man ,2009,/work/10066628,A Single Man,/work/96993,1964.0,by Christopher Isherwood,0.0,-4.05,6.0,3.0
298,My Sister's Keeper ,2009,/work/10242835,My Sister's Keeper,/work/12466,2004.0,by Jodi Picoult,0.0,-3.98,7.0,16.0
299,Precious ,2009,/work/10272293,Push,/work/124712,,by Sapphire,1.0,-3.82,1.0,7.0
300,Cirque du Freak: The Vampire's Assistant ,2009,/work/11325896,Cirque du Freak: A Living Nightmare,/work/220546,2000.0,by Darren Shan,1.0,-3.73,4.0,6.0
301,The Time Traveler's Wife ,2009,/work/9788782,The Time Traveler's Wife,/work/3067,,by Audrey Niffenegger,0.0,-4.1,16.0,22.0
302,Disney's A Christmas Carol ,2009,/work/12030767,A Christmas Carol,/work/1549,1843.0,by Charles Dickens,1.0,-4.09,14.0,20.0
303,The Taking of Pelham 1 2 3 ,2009,/work/9876277,The Taking of Pelham One Two Three,/work/357343,1973.0,by John Godey,0.0,-3.49,1.0,1.0
304,"I Love You, Beth Cooper ",2009,/work/12516331,"I Love You, Beth Cooper",/work/2361677,2007.0,by Larry Doyle,0.0,-3.5,7.0,3.0
305,Whip It ,2009,/work/8941524,Derby Girl,/work/3416802,,by Shauna Cross,0.0,-3.63,20.0,3.0
306,The Informant! ,2009,/work/10583590,The Informant: A True Story,/work/252517,2000.0,by Kurt Eichenwald,0.0,-3.89,1.0,4.0
307,Youth In Revolt ,2009,/work/9491839,Youth in Revolt,/work/27244,1993.0,"by C. D. Payne, C. D. Payne",1.0,-4.05,19.0,1.0
308,Beautiful Kate ,2009,/work/21525866,Beautiful Disaster,/work/8461381,,by Kate Brian,1.0,-4.33,1.0,1.0
309,Hotel for Dogs ,2009,/work/16668643,Hotel For Dogs,/work/1221112,1971.0,by Lois Duncan,1.0,-3.84,3.0,1.0
310,Chéri ,2009,/work/10415040,Chéri / The Last of Chéri,/work/101906,1920.0,by Colette,1.0,-3.93,5.0,1.0
311,The Last Station ,2009,/work/11002936,The Last Station: A Novel of Tolstoy's Final Year,/work/413541,1990.0,by Jay Parini,0.0,-3.56,2.0,1.0
312,Veronika Decides To Die ,2009,/work/10882149,Veronika Decides to Die,/work/39225,1998.0,by Paulo Coelho,0.0,-3.6,5.0,2.0
313,Boogie Woogie,,/work/3288326,,,,by Rachael O'Neill,0.0,,1.0,1.0
314,Walled in Light: Saint Colette,,/work/4867294,,,,by Mother Mary Francis,0.0,-5.0,1.0,1.0
315,Dark Country ,2009,/work/13103144,The dark country,/work/919616,1982.0,by Dennis Etchison,0.0,-3.76,1.0,2.0
316,The City of Your Final Destination ,2009,/work/13289030,The City of Your Final Destination,/work/177342,,by Peter Cameron,0.0,-3.67,1.0,2.0
317,A Clean Kill in Tokyo,,/work/43350,,,2002.0,by Barry Eisler,1.0,-3.8,1.0,1.0
318,Not Easily Broken ,2009,/work/19461496,Not Easily Broken: A Novel,/work/1766008,,by T. D. Jakes,0.0,-3.86,1.0,1.0
319,The Cry of the Owl,,/work/171179,,,1962.0,by Patricia Highsmith,0.0,-3.71,1.0,1.0
320,The Last Ride,,/work/563222,,,1995.0,by Thomas Eidson,0.0,-3.57,1.0,1.0
321,Taras Bulba,,/work/192404,,,1835.0,by Nikolai Gogol,0.0,-3.8,5.0,2.0
322,Like Dandelion Dust ,2009,/work/12276279,Like Dandelion Dust,/work/1187333,,by Karen Kingsbury,0.0,-4.08,1.0,1.0
323,The Bible: In Contemporary Language: The Message,,/work/38190,,,2002.0,by Eugene H. Peterson,1.0,-4.31,67.0,2.0
324,Tsurugidake: Ten no ki,,,,,,,,,,
325,Twilight ,2008,/work/8161517,Twilight,/work/8384326,2005.0,by Stephenie Meyer,1.0,-3.74,22.0,40.0
326,The Boy in the Striped Pajamas ,2008,/work/9302941,The Boy in the Striped Pajamas,/work/383608,2006.0,by John Boyne,0.0,-3.97,9.0,14.0
327,The Reader ,2008,/work/8681291,The Reader,/work/4682,1995.0,by Bernhard Schlink,0.0,-3.7,5.0,15.0
328,Body of Lies ,2008,/work/11338188,Body of Lies,/work/2346653,,by David Ignatius,0.0,-3.64,1.0,1.0
329,Jumper ,2008,/work/5717378,Jumper,/work/23084,1992.0,by Steven Gould,1.0,-3.86,4.0,4.0
330,Let the Right One In ,2008,/work/9461082,Let The Right One In,/work/662641,2004.0,by John Ajvide Lindqvist,0.0,-4.0,17.0,11.0
331,Slumdog Millionaire ,2008,/work/7631625,Q & A,/work/146723,2005.0,by Vikas Swarup,0.0,-3.88,12.0,10.0
332,Revolutionary Road ,2008,/work/10238093,Revolutionary Road,/work/10122,1961.0,by Richard Yates,0.0,-4.03,7.0,5.0
333,The Ruins ,2008,/work/17769885,The Ruins,/work/689300,,by Scott Smith,0.0,-3.37,7.0,5.0
334,Journey to the Center of the Earth ,2008,/work/7143982,Journey to the Center of the Earth,/work/41564,1864.0,by Jules Verne,1.0,-3.72,5.0,11.0
335,The Chronicles of Narnia: Prince Caspian ,2008,/work/7691813,Prince Caspian,/work/6954108,1951.0,by C. S. Lewis,1.0,-3.87,20.0,3.0
336,The Other Boleyn Girl ,2008,/work/10007873,The Other Boleyn Girl,/work/5168,2001.0,by Philippa Gregory,1.0,-3.95,11.0,4.0
337,Inkheart ,2008,/work/8542250,Inkheart,/work/1653,2003.0,by Cornelia Funke,1.0,-3.92,11.0,25.0
338,City of Ember ,2008,/work/7698767,The City of Ember,/work/36181,,by Jeanne DuPrau,1.0,-3.86,7.0,32.0
339,The Forbidden Kingdom ,2008,/work/5737969,,,,,,,,
340,Blindness ,2008,/work/12692830,Blindness,/work/3773276,1995.0,by José Saramago,1.0,-4.07,8.0,6.0
341,Appaloosa ,2008,/work/8403038,Appaloosa,/work/74050,2005.0,by Robert B. Parker,1.0,-3.77,4.0,1.0
342,Nick & Norah's Infinite Playlist,,/work/989447,,,2006.0,"by Rachel Cohn, David Levithan",0.0,-3.78,10.0,10.0
343,Nights in Rodanthe ,2008,/work/9715320,Nights in Rodanthe,/work/4441,2002.0,by Nicholas Sparks,0.0,-3.53,3.0,1.0
344,The Red Baron ,2008,/work/10546614,The Red Tent,/work/5173,,by Anita Diamant,0.0,-4.03,33.0,5.0
345,Nim's Island ,2008,/work/9346081,Nim's Island,/work/134450,1999.0,by Wendy Orr,1.0,-3.86,7.0,1.0
346,New York States of Mind: Art and the City,,/work/9081853,House,/work/803330,2006.0,"by Frank Peretti, Ted Dekker",0.0,-3.39,9.0,1.0
347,Brideshead Revisited ,2008,/work/13771799,Brideshead Revisited,/work/22550,1945.0,by Evelyn Waugh,0.0,-4.04,6.0,22.0
348,The Secret Life of Bees ,2008,/work/12852703,The Secret Life of Bees,/work/3045,2002.0,by Sue Monk Kidd,0.0,-3.91,15.0,15.0
349,The Sisterhood of the Traveling Pants 2 ,2008,/work/7926209,Forever in Blue: The Fourth Summer of the Sisterhood,/work/1099256,2007.0,by Ann Brashares,1.0,-3.73,11.0,2.0
350,The Tale of Despereaux ,2008,/work/11214035,"The Tale of Despereaux: Being the Story of a Mouse, a Princess, Some Soup and a Spool of Thread",/work/6953,2003.0,by Kate DiCamillo,0.0,-4.09,9.0,41.0
351,The Informers,,/work/7205,,,1994.0,by Bret Easton Ellis,0.0,-3.19,1.0,1.0
352,The Oxford Murders ,2008,/work/12897336,The Oxford Murders,/work/57090,2003.0,by Guillermo Martínez,0.0,-3.19,8.0,2.0
353,The Secret of Moonacre ,2008,/work/9795503,The Little White Horse,/work/51421,1946.0,by Elizabeth Goudge,0.0,-4.1,14.0,5.0
354,The Lazarus Project ,2008,/work/17178788,The Lazarus Project,/work/4968372,2008.0,by Aleksandar Hemon,0.0,-3.52,8.0,11.0
355,Elegy ,2008,/work/16472699,The Dying Animal,/work/18216,2001.0,by Philip Roth,1.0,-3.54,5.0,2.0
356,Me and Orson Welles ,2008,/work/10009455,Me and Orson Welles: A Novel,/work/227182,,by Robert Kaplow,0.0,-3.42,2.0,3.0
357,Dream Boy,,/work/20214,,,1995.0,by Jim Grimsley,0.0,-4.0,9.0,3.0
358,Adam Resurrected ,2008,/work/16453412,Adam Resurrected: A Novel,/work/349482,1969.0,by Yoram Kaniuk,0.0,-2.94,1.0,1.0
359,Afterwards ,2008,/work/16529630,Afterwards,/work/11320756,,by Rosamund Lupton,0.0,-3.77,4.0,2.0
360,Disgrace,,/work/3481,,,1999.0,by J. M. Coetzee,0.0,-3.85,5.0,16.0
361,Three Kingdoms,,/work/43421,,,,by Guanzhong Luo,0.0,-4.09,12.0,3.0
362,Meu Nome Não é Johnny,,/work/4913140,,,,by Guilherme Fiúza,0.0,-2.0,1.0,1.0
363,The Golden Boys ,2008,/work/17845612,The Golden Treasury of Prayers for Boys and Girls (A Big Golden Book),/work/407281,,by Esther Wilkin,0.0,-5.0,1.0,1.0
364,A Show of Hands: Say It in Sign Language,,/work/1278360,,,,by Mary Beth Sullivan,0.0,-3.33,1.0,2.0
365,Esther's Inheritance,,/work/379542,,,1939.0,by Sándor Márai,0.0,-3.61,2.0,1.0
366,Whatever Happened to Dulce Veiga? : A B-Novel (Texas Pan American Series),,/work/1133041,,,,by Caio Fernando Abreu,0.0,-4.17,1.0,1.0
367,"Diary of a Wimpy Kid: Rodrick Rules, Part 2",,/work/19819436,,,,by Jeff Kinney,1.0,,1.0,1.0
368,Illyuziya strakha,,,,,,,,,,
369,No Country for Old Men ,2007,/work/4500186,No Country for Old Men,/work/7137579,2005.0,by Cormac McCarthy,0.0,-4.02,5.0,11.0
370,Harry Potter and the Order of the Phoenix ,2007,/work/4362796,Harry Potter and the Order of the Phoenix,/work/115,2003.0,by J. K. Rowling,1.0,-4.28,49.0,22.0
371,There Will Be Blood ,2007,/work/5296595,Oil!,/work/258668,1927.0,by Upton Sinclair,0.0,-3.57,11.0,2.0
372,Stardust ,2007,/work/4549033,Stardust,/work/3574878,1998.0,by Neil Gaiman,0.0,-4.02,20.0,7.0
373,The Mist ,2007,/work/10870263,The Mist,/work/232669,,by Stephen King,1.0,-3.83,5.0,2.0
374,I Am Legend ,2007,/work/3825229,I Am Legend,/work/819161,1954.0,by Richard Matheson,0.0,-3.97,21.0,13.0
375,Shooter ,2007,/work/7989159,Point of Impact,/work/7732,1993.0,by Stephen Hunter,1.0,-4.08,1.0,1.0
376,Gone Baby Gone ,2007,/work/8834337,"Gone, Baby, Gone",/work/38008,1998.0,by Dennis Lehane,1.0,-3.97,9.0,6.0
377,The Golden Compass ,2007,/work/5750391,Northern Lights,/work/3261,1995.0,by Philip Pullman,1.0,-4.08,80.0,32.0
378,Bridge to Terabithia ,2007,/work/9829845,Bridge to Terabithia,/work/4131,,by Katherine Paterson,0.0,-4.02,5.0,21.0
379,The Invasion ,2007,/work/12416896,The Invasion,/work/20684666,2018.0,by Peadar Ó Guilín,1.0,-3.7,1.0,1.0
380,P. S. I Love You ,2007,/work/6513698,,,,,,,,
381,The Bourne Ultimatum ,2007,/work/2953721,The Bourne Ultimatum,/work/31895,1990.0,by Robert Ludlum,1.0,-3.59,6.0,2.0
382,The Assassination of Jesse James by the Coward Robert Ford ,2007,/work/5212703,The Assassination of Jesse James by the Coward Robert Ford,/work/168286,1983.0,by Ron Hansen,0.0,-3.76,3.0,1.0
383,Next ,2007,/work/4072138,Next,/work/1806474,2006.0,by Michael Crichton,0.0,-3.24,9.0,2.0
384,Charlie Wilson's War ,2007,/work/5390356,Charlie Wilson's War: The Extraordinary Story of How the Wildest Man in Congress and a Rogue CIA Agent Changed the History of Our Times,/work/21866,2003.0,by George Crile,0.0,-4.05,9.0,4.0
385,Hannibal Rising ,2007,/work/11781590,Hannibal Rising,/work/1629853,2006.0,by Thomas Harris,1.0,-3.16,5.0,2.0
386,Virgin Territory ,2007,/work/15503415,Virgin Territory,/work/247027,,by Shar Rednour,1.0,-3.67,1.0,1.0
387,Meet the Robinsons ,2007,/work/5280252,A Day with Wilbur Robinson,/work/129706,1990.0,by William Joyce,0.0,-3.84,9.0,1.0
388,The Last Legion ,2007,/work/10845750,L'ultima Legione,/work/287212,2002.0,by Valerio Massimo Manfredi,0.0,-3.4,1.0,1.0
389,The Kite Runner ,2007,/work/8006378,The Kite Runner,/work/5276341,2003.0,by Khaled Hosseini,0.0,-4.2,9.0,23.0
390,The Nanny Diaries ,2007,/work/11225539,The Nanny Diaries,/work/21637,,"by Emma McLaughlin, Nicola Kraus (Author)",1.0,-3.21,4.0,1.0
391,Blood and Chocolate,,/work/16181,,,1997.0,by Annette Curtis Klause,0.0,-3.72,23.0,12.0
392,The Seeker: The Dark is Rising ,2007,/work/6731055,The Dark Is Rising,/work/4290062,1973.0,by Susan Cooper,1.0,-4.12,17.0,13.0
393,Reservation Road ,2007,/work/12466868,Reservation Road (Vintage Contemporaries),/work/71547,,by John Burnham Schwartz,1.0,-3.4,1.0,1.0
394,Love in the Time of Cholera ,2007,/work/9701493,Love in the Time of Cholera,/work/10105,1985.0,by Gabriel García Márquez,0.0,-3.96,12.0,21.0
395,The Invisible Man,,/work/21214,,,1897.0,by H. G. Wells,0.0,-3.53,18.0,6.0
396,Une vieille maîtresse,,/work/11008973,,,,by Catherine Breillat,0.0,-2.5,1.0,1.0
397,The Death and Life of Bobby Z,,/work/28615,,,1997.0,by Don Winslow,0.0,-3.75,2.0,2.0
398,Paranoid Park ,2007,/work/12072887,Paranoid Park,/work/1205640,2006.0,by Blake Nelson,0.0,-3.68,6.0,1.0
399,Youth Without Youth ,2007,/work/18050471,Youth Without Youth,/work/4366373,1976.0,by Mircea Eliade,0.0,-3.4,1.0,1.0
400,Silk ,2007,/work/11550586,Silk,/work/18143,1996.0,by Alessandro Baricco,0.0,-3.81,5.0,3.0
401,December Boys,,/work/17239217,,,,by Joe Clifford,1.0,-4.1,1.0,1.0
402,Martian Child,,/work/11124786,The Martian Child: A Novel About A Single Father Adopting A Son,/work/81719,,by David Gerrold,0.0,-3.79,2.0,1.0
403,Then She Found Me ,2007,/work/6894633,Then She Found Me,/work/42558,1990.0,by Elinor Lipman,0.0,-3.53,3.0,1.0
404,Fugitive Pieces,,/work/17911,,,1996.0,by Anne Michaels,0.0,-3.77,7.0,14.0
405,The Tracey Fragments,,/work/1183683,,,1998.0,by Maureen Medved,0.0,-4.0,4.0,1.0
406,The Last Sin Eater ,2007,/work/12907267,The Last Sin Eater,/work/150649,,by Francine Rivers,0.0,-4.03,4.0,1.0
407,The Sun Also Rises ,2007,/work/17913424,The Sun Also Rises,/work/23107,1926.0,by Ernest Hemingway,0.0,-3.77,11.0,19.0
408,The Little Traitor,,/work/10418450,,,,by Lynn Roth [director],0.0,-4.5,1.0,1.0
409,Beaufort,,/work/3915047,,,2005.0,by Ron Leshem,0.0,-4.16,24.0,3.0
410,"Genghis Khan: To the Ends of the Earth and Sea, Volume 1",,/work/7815312,,,,by Seiichi Morimura,1.0,,1.0,1.0
411,All Hat,,/work/214496,,,,by Brad Smith,0.0,-4.67,1.0,1.0
412,Emotional Arithmetic: A Novel,,/work/335871,,,,by Matt Cohen,0.0,-3.5,1.0,1.0
413,Paragraf 78,,,,,,,,,,
414,"Lewdness (Peccatum Mutum: The Mute Sin, alias Sodomy)",,/work/10278493,,,,by Sinistrari d'Ameno,0.0,,1.0,1.0
415,Best Wishes for Tomorrow,,,,,,,,,,
416,Cairo Jim on the trail to Chacha Muchos: an epic tale of rhythm,,/work/1522819,,,,by mcskimminggeoffrey,1.0,-3.83,1.0,1.0
417,Casino Royale ,2006,/work/2812440,Casino Royale,/work/2612458,1953.0,by Ian Fleming,1.0,-3.53,25.0,6.0
418,The Prestige ,2006,/work/2641242,The Prestige,/work/18416,1995.0,by Christopher Priest,0.0,-3.81,5.0,7.0
419,Children of Men ,2006,/work/2781198,The Children of Men,/work/14944,1992.0,by P.D. James,0.0,-3.57,2.0,8.0
420,The Da Vinci Code ,2006,/work/2177925,The Da Vinci Code,/work/3123767,2003.0,by Dan Brown,1.0,-3.53,9.0,22.0
421,A Good Year ,2006,/work/3750366,A Good Year,/work/5661,2004.0,by Peter Mayle,0.0,-3.53,9.0,1.0
