SearchTerm,Year,Link1,AdaptationOf,Link2,published_x,author_x,series_x,rating_x,charnum_x,awardnum_x
John Carter [2012 film],John Carter [2012 film],/work/12783754,A Princess of Mars,/work/82902,1912,by Edgar Rice Burroughs,1,-3.58,15,4
Journey 2: The Mysterious Island [2012 film],Journey 2: The Mysterious Island [2012 film],/work/12621654,The Mysterious Island,/work/183845,1874,by Jules Verne,1,-3.92,10,6
The Woman in Black [2012 film],The Woman in Black [2012 film],/work/12997663,The Woman in Black,/work/63662,1983,by Susan Hill,0,-3.7,14,7
Life of Pi [2012 film],Life of Pi [2012 film],/work/13360628,Life of Pi,/work/5197633,2001,by Yann Martel,0,-3.91,7,29
Lawless [2012 film],Lawless [2012 film],/work/15469312,The Wettest County in the World,/work/5679254,,by Matt Bondurant,0,-3.47,4,1
Anna Karenina [2012 film],Anna Karenina [2012 film],/work/14327781,Anna Karenina,/work/2340,1877,"by Leo Tolstoy, George Gibian (Editor)",0,-4.15,39,32
Savages [2012 film],Savages [2012 film],/work/16370115,Savages,/work/179668,,by Shirley Conran,0,-3.59,1,1
Diary of a Wimpy Kid: Dog Days [2012 film],Diary of a Wimpy Kid: Dog Days [2012 film],/work/17253228,Diary of a Wimpy Kid: Dog Days,/work/8789607,,by Jeff Kinney,1,-4.06,6,3
The Lucky One [2012 film],The Lucky One [2012 film],/work/16767390,The Lucky One,/work/5304078,2008,by Nicholas Sparks,0,-3.86,8,1
On the Road [2012 film],On the Road [2012 film],/work/13040260,On the Road,/work/3207,1957,by Jack Kerouac,0,-3.64,9,33
Cosmopolis [2012 film],Cosmopolis [2012 film],/work/13997123,Cosmopolis,/work/971270,2003,by Don DeLillo,0,-3.09,3,1
The Paperboy [2012 film],The Paperboy [2012 film],/work/11525845,The Paperboy,/work/41406,,by Pete Dexter,0,-3.76,6,3
One for the Money [2012 film],One for the Money [2012 film],/work/14388331,One for the Money,/work/9759186,1994,by Janet Evanovich,1,-3.88,4,6
Alex Cross [2012 film],Alex Cross [2012 film],/work/13526065,Cross,/work/993429,2006,by James Patterson,1,-3.64,5,1
The Company You Keep [2012 film],The Company You Keep [2012 film],/work/14914134,The Company You Keep,/work/348044,2005,by Angela Henry,1,-3.25,1,1
What Maisie Knew [2012 film],What Maisie Knew [2012 film],/work/14342569,What Maisie Knew,/work/19973,1897,by Henry James,0,-3.38,2,2
Atlas Shrugged II: The Strike [2012 movie],Atlas Shrugged II: The Strike [2012 movie],/work/13599913,,,,,,,,
Come Out and Play (It's a Kid's World),Come Out and Play (It's a Kid's World),/work/5529001,,,2001,by Maya Ajmera,0,,1,1
La Vida Precoz y Breve de Sabina Rivas,La Vida Precoz y Breve de Sabina Rivas,/work/15079585,,,,by Mandoki,0,,1,1
A.C.A.B.: All Cops Are Bastards {Movie},A.C.A.B.: All Cops Are Bastards {Movie},/work/13186031,,,,by Stefano Sollima,0,-3,1,1
Thérèse Desqueyroux [2012 film],Thérèse Desqueyroux [2012 film],/work/22161989,Thérèse Raquin,/work/1536,1867,by Émile Zola,0,-3.77,8,6
Les Liaisons Dangereuses,Les Liaisons Dangereuses,/work/32388,,,1782,by Pierre Choderlos de Laclos,0,-4.11,5,9
Blue Like Jazz,Blue Like Jazz,/work/4121,,,2003,by Donald Miller,0,-3.91,1,1
Another Women's Life [2012 film],Another Women's Life [2012 film],/work/13629324,,,,,,,,
The Spy: A Tale of the Neutral Ground,The Spy: A Tale of the Neutral Ground,/work/359702,,,1836,by James Fenimore Cooper,0,-3.33,1,1
Harry Potter and the Deathly Hallows: Part 2 [2011 film],Harry Potter and the Deathly Hallows: Part 2 [2011 film],/work/11749612,Harry Potter and the Deathly Hallows,/work/3577382,,by J. K. Rowling,1,-4.42,67,29
The Girl with the Dragon Tattoo [2011 film],The Girl with the Dragon Tattoo [2011 film],/work/12479303,The Girl with the Dragon Tattoo,/work/1541442,2005,by Stieg Larsson,1,-4.02,15,19
Drive [2011 film],Drive [2011 film],/work/12361579,Drive: The Surprising Truth About What Motivates Us,/work/8891693,2009,by Daniel H. Pink,0,-3.85,1,1
Something Borrowed [2011 film],Something Borrowed [2011 film],/work/12899728,Something Borrowed,/work/21617,2004,by Emily Giffin,1,-3.71,8,1
The Help [2011 film],The Help [2011 film],/work/12207641,The Help,/work/8019757,2009,by Kathryn Stockett,0,-4.36,15,23
The Lincoln Lawyer [2011 film],The Lincoln Lawyer [2011 film],/work/11584272,The Lincoln Lawyer,/work/25501,,by Michael Connelly,1,-3.91,5,8
I Am Number Four,I Am Number Four,/work/9835425,,,,by Pittacus Lore,1,-3.58,9,7
We Need to Talk About Kevin [2011 film],We Need to Talk About Kevin [2011 film],/work/17051694,We Need to Talk about Kevin,/work/8282,2003,by Lionel Shriver,0,-4.09,4,6
Hugo [2011 film],Hugo [2011 film],/work/12357429,The Invention of Hugo Cabret,/work/1729243,2007,"by Brian Selznick, Brian Selznick (Illustrator)",0,-4.3,9,36
One Day [2011 film],One Day [2011 film],/work/16539213,One Day,/work/8101931,2009,by David Nicholls,0,-3.71,21,9
The Descendants [2011 film],The Descendants [2011 film],/work/12479306,The Descendants,/work/2499168,2007,by Kaui Hart Hemmings,0,-3.86,1,2
The Three Musketeers [2011 film],The Three Musketeers [2011 film],/work/12335761,The Three Musketeers,/work/3745066,1844,by Alexandre Dumas Père,1,-4.07,10,21
Conan the Barbarian [2011 film],Conan the Barbarian [2011 film],/work/14543505,Conan The Barbarian,/work/501367,,"by L. Sprague de Camp, Lin Carter",1,-3.38,13,1
The Best Exotic Marigold Hotel [2011 film],The Best Exotic Marigold Hotel [2011 film],/work/12825640,These Foolish Things,/work/8278,2004,by Deborah Moggach,0,-3.4,16,1
Unknown [2011 film],Unknown [2011 film],/work/15925760,Hors de moi,/work/1391861,2003,by Didier van Cauwelaert,0,-3.03,1,1
Priest [2011 film],Priest [2011 film],/work/14414162,Priest [1994 film],/work/4195814,,"by Antonia Bird (Director), Jimmy McGovern (Writer)",0,-3.75,1,1
War Horse [2011 film],War Horse [2011 film],/work/12122122,War Horse,/work/696577,1982,by Michael Morpurgo,1,-4.02,6,6
Diary of a Wimpy Kid: Rodrick Rules,Diary of a Wimpy Kid: Rodrick Rules,/work/5145202,,,2008,by Jeff Kinney,1,-4.06,4,4
Water for Elephants [2011 film],Water for Elephants [2011 film],/work/12073931,Water for Elephants,/work/522063,2006,by Sara Gruen,0,-4.07,12,10
Beastly [2011 film],Beastly [2011 film],/work/13200804,Beastly,/work/5141188,2007,by Alex Flinn,1,-3.71,4,9
The Rum Diary,The Rum Diary,/work/15673859,The Rum Diary : A Novel,/work/3313427,1998,by Hunter S. Thompson,0,-3.73,6,1
Killer Elite [2011 film],Killer Elite [2011 film],/work/12211877,The Feather Men,/work/450587,,by Sir Ranulph Fiennes,0,-3.8,1,1
The Eagle {2011 film},The Eagle {2011 film},/work/10694838,The Eagle of the Ninth,/work/10028,1954,by Rosemary Sutcliff,1,-4.03,12,3
Mr. Popper's Penguins [2011 film],Mr. Popper's Penguins [2011 film],/work/14461889,Mr. Popper's Penguins,/work/33809,1938,"by Richard Atwater, Florence Atwater",0,-3.87,4,5
Atlas Shrugged: Part One,Atlas Shrugged: Part One,/work/16647950,,,,"by Paul Johansson (Director), Ayn Rand (Author)",1,-3,1,1
The Flowers of War [2011 film],The Flowers of War [2011 film],/work/15812318,The War of the Flowers,/work/45618,2003,by Tad Williams,0,-3.82,1,1
Red Dog [2011 film],Red Dog [2011 film],/work/27101199,Red Dog,/work/9973,2001,by Louis De Bernières,0,-3.67,3,1
3-D Sex and Zen: Extreme Ecstasy,3-D Sex and Zen: Extreme Ecstasy,,,,,,,,,
You are the Apple of My Eye (China Version),You are the Apple of My Eye (China Version),/work/17840089,,,,by Giddens KO,0,,1,1
Snow Flower and the Secret Fan [2011 film],Snow Flower and the Secret Fan [2011 film],/work/15524618,Snow Flower and the Secret Fan,/work/20106,2005,by Lisa See,0,-4.01,9,7
You and I [2011 film],You and I [2011 film],/work/17271230,I Am America (And So Can You!),/work/3093980,,by Stephen Colbert,0,-3.76,1,4
Salvation Boulevard: A Novel,Salvation Boulevard: A Novel,/work/6215601,,,,by Larry Beinhart,0,-3.75,1,1
Homo Zapiens,Homo Zapiens,/work/23647,,,,by Viktor Pelevin,0,-3.65,1,3
Shutter Island [2010 film],Shutter Island [2010 film],/work/5487664,Shutter Island,/work/13697,2003,by Dennis Lehane,0,-3.9,7,6
Alice in Wonderland [2010 film],Alice in Wonderland [2010 film],/work/10015891,Alice's Adventures in Wonderland,/work/8288,1865,by Lewis Carroll,1,-3.99,32,45
True Grit [2010 film],True Grit [2010 film],/work/11793033,True Grit,/work/3742863,1968,by Charles Portis,0,-4.14,7,4
Let Me In [2010 film],Let Me In [2010 film],/work/14352846,Let The Right One In,/work/662641,2004,by John Ajvide Lindqvist,0,-4,17,11
How to Train Your Dragon [2010 film],How to Train Your Dragon [2010 film],/work/10544532,How to Train Your Dragon,/work/1642,2003,by Cressida Cowell,1,-3.85,14,2
The Twilight Saga: Eclipse [2010 film],The Twilight Saga: Eclipse [2010 film],/work/11504863,Eclipse,/work/8461488,2007,by Stephenie Meyer,1,-3.82,32,7
Diary of a Wimpy Kid [2010 film],Diary of a Wimpy Kid [2010 film],/work/11939276,Diary of a Wimpy Kid,/work/14038411,,by Jeff Kinney,1,-3.98,8,26
The Chronicles of Narnia: The Voyage of the Dawn Treader [2010 film],The Chronicles of Narnia: The Voyage of the Dawn Treader [2010 film],/work/11184889,The Voyage of the Dawn Treader,/work/1182720,1952,by C. S. Lewis,1,-4.03,20,3
Never Let Me Go [2010 film],Never Let Me Go [2010 film],/work/11705932,Never Let Me Go,/work/7244,2005,by Kazuo Ishiguro,0,-3.81,9,21
Flipped [2010 film],Flipped [2010 film],/work/13076936,Flipped,/work/3032091,,by Wendelin Van Draanen,0,-3.86,2,21
Eat Pray Love [2010 film],Eat Pray Love [2010 film],/work/11067936,"Eat, Pray, Love",/work/654973,2006,by Elizabeth Gilbert,0,-3.54,16,4
Winter's Bone [2010 film],Winter's Bone [2010 film],/work/11659176,Winter's Bone,/work/325488,2006,by Daniel Woodrell,0,-3.99,4,5
It's Kind of a Funny Story [2010 film],It's Kind of a Funny Story [2010 film],/work/17034045,It's Kind of a Funny Story,/work/337509,2006,by Ned Vizzini,0,-3.96,17,5
The American [2010 film],The American [2010 film],/work/10990158,The American,/work/28852,1877,by Henry James,0,-3.69,6,1
Dear John [2010 film],Dear John [2010 film],/work/8467149,Dear John,/work/1556319,2006,by Nicholas Sparks,0,-3.73,7,2
The Ghost Writer [2010 film],The Ghost Writer [2010 film],/work/11680145,The Ghost Writer,/work/7251,1979,by Philip Roth,1,-3.67,3,7
The Secret World of Arrietty [2010 film],The Secret World of Arrietty [2010 film],/work/14686161,The Borrowers,/work/34289,1952,by Mary Norton,1,-3.89,3,7
Ramona and Beezus [2010 film],Ramona and Beezus [2010 film],/work/16455838,Beezus and Ramona,/work/2236378,1955,by Beverly Cleary,1,-3.93,4,1
The Last Song [2010 film],The Last Song [2010 film],/work/14746940,The Last Song,/work/8221836,,by Nicholas Sparks,0,-3.99,2,3
Legend of the Guardians: The Owls of Ga'Hoole [2010 film],Legend of the Guardians: The Owls of Ga'Hoole [2010 film],/work/16651790,The Capture,/work/96135,2003,by Kathryn Lasky,1,-3.77,2,4
Gulliver's Travels [2010 film],Gulliver's Travels [2010 film],/work/13321924,Gulliver's Travels,/work/3373,1726,by Jonathan Swift,0,-3.7,2,32
Twelve [2010 film],Twelve [2010 film],/work/17357315,Twelve,/work/151853,,by Nick McDonell,0,-3.13,1,1
The Experiment,The Experiment,/work/358875,,,,by K. A. Applegate,1,-3.49,8,1
The Killer Inside Me [2010 film],The Killer Inside Me [2010 film],/work/13758458,The Killer Inside Me,/work/2144,1952,by Jim Thompson,0,-3.9,10,5
Charlie St. Cloud [2010 film],Charlie St. Cloud [2010 film],/work/11682694,Charlie St. Cloud,/work/4967722,2004,by Ben Sherwood,0,-3.77,3,1
"Tomorrow, When the War Began","Tomorrow, When the War Began",/work/112269,,,1993,by John Marsden,1,-4.06,8,13
Barney's Version [2010 film],Barney's Version [2010 film],/work/11345059,Barney's Version,/work/29158,1997,by Mordecai Richler,0,-4.04,2,10
London Boulevard [2010 film],London Boulevard [2010 film],/work/12746010,London Boulevard,/work/8301585,2001,by Ken Bruen,0,-3.87,7,1
7 Days,7 Days,/work/17026649,,,,by Daniel Grou,0,-2,1,1
Brighton Rock [2010 film],Brighton Rock [2010 film],/work/16616844,Brighton Rock,/work/7137,1938,by Graham Greene,0,-3.72,4,8
Spud,Spud,/work/1629281,,,2005,by John van de Ruit,1,-3.83,5,2
The extra man,The extra man,/work/71572,,,,by Jonathan Ames,0,-3.65,1,1
Radio Free Albemuth [2010 film],Radio Free Albemuth [2010 film],/work/17266827,Radio Free Albemuth,/work/6905762,1985,by Philip K. Dick,1,-3.62,4,1
Blood Done Sign My Name,Blood Done Sign My Name,/work/12730,,,,by Timothy B. Tyson,0,-4.27,4,2
Ways To Live Forever,Ways To Live Forever,/work/7499542,,,2008,by Sally Nicholls,0,-4.22,1,10
Gigola (French Edition),Gigola (French Edition),/work/11338868,,,,by Laure Charpentier,0,,1,1
400 Contra 1: Uma História do Crime Organizado,400 Contra 1: Uma História do Crime Organizado,,,,,,,,,
Coraline [2009 animated film],Coraline [2009 animated film],/work/9400319,Coraline,/work/4183,2002,by Neil Gaiman,0,-3.99,11,31
Watchmen [2009 Theatrical Cut],Watchmen [2009 Theatrical Cut],/work/8640254,Watchmen,/work/7233,1986,"by Alan Moore (Writer), Dave Gibbons (Illustrator)",1,-4.32,53,20
Harry Potter and the Half-Blood Prince [2009 film],Harry Potter and the Half-Blood Prince [2009 film],/work/9247113,Harry Potter and the Half-Blood Prince,/work/1133624,2005,by J. K. Rowling,1,-4.36,49,16
Fantastic Mr. Fox {2009 film},Fantastic Mr. Fox {2009 film},/work/9333649,Fantastic Mr. Fox,/work/6446,1970,by Roald Dahl,0,-3.91,5,6
Sherlock Holmes [2009 film],Sherlock Holmes [2009 film],/work/9768880,The Complete Sherlock Holmes,/work/24420,1930,by Sir Arthur Conan Doyle,1,-4.43,7,4
The Lovely Bones [2009 film],The Lovely Bones [2009 film],/work/11395974,The Lovely Bones,/work/4931,2002,by Alice Sebold,0,-3.7,17,31
The Girl with the Dragon Tattoo [2009 film],The Girl with the Dragon Tattoo [2009 film],/work/11108345,The Girl with the Dragon Tattoo,/work/1541442,2005,by Stieg Larsson,1,-4.02,15,19
The Twilight Saga: New Moon [2009 film],The Twilight Saga: New Moon [2009 film],/work/11118736,New Moon,/work/2299193,2006,by Stephenie Meyer,1,-3.66,37,11
The Road [2009 film],The Road [2009 film],/work/10224090,The Road,/work/1222607,2006,by Cormac McCarthy,0,-4.06,6,28
Up in the Air [2009 film],Up in the Air [2009 film],/work/4791742,Up in the Air,/work/108871,2001,by Walter Kirn,0,-3.02,1,3
The Secret In Their Eyes [2009 film],The Secret In Their Eyes [2009 film],/work/9952593,The Secret in Their Eyes,/work/8816389,,by Eduardo Sacheri,0,-4.16,2,1
A Single Man [2009 film],A Single Man [2009 film],/work/10066628,A Single Man,/work/96993,1964,by Christopher Isherwood,0,-4.05,6,3
My Sister's Keeper [2009 film],My Sister's Keeper [2009 film],/work/10242835,My Sister's Keeper,/work/12466,2004,by Jodi Picoult,0,-3.98,7,16
Precious [2009 film],Precious [2009 film],/work/10272293,Push,/work/124712,,by Sapphire,1,-3.82,1,7
Cirque du Freak: The Vampire's Assistant [2009 film],Cirque du Freak: The Vampire's Assistant [2009 film],/work/11325896,Cirque du Freak: A Living Nightmare,/work/220546,2000,by Darren Shan,1,-3.73,4,6
The Time Traveler's Wife [2009 film],The Time Traveler's Wife [2009 film],/work/9788782,The Time Traveler's Wife,/work/3067,,by Audrey Niffenegger,0,-4.1,16,22
Disney's A Christmas Carol [2009 film],Disney's A Christmas Carol [2009 film],/work/12030767,A Christmas Carol,/work/1549,1843,by Charles Dickens,1,-4.09,14,20
The Taking of Pelham 1 2 3 [2009 film],The Taking of Pelham 1 2 3 [2009 film],/work/9876277,The Taking of Pelham One Two Three,/work/357343,1973,by John Godey,0,-3.49,1,1
"I Love You, Beth Cooper [2009 film]","I Love You, Beth Cooper [2009 film]",/work/12516331,"I Love You, Beth Cooper",/work/2361677,2007,by Larry Doyle,0,-3.5,7,3
Whip It [2009 film],Whip It [2009 film],/work/8941524,Derby Girl,/work/3416802,,by Shauna Cross,0,-3.63,20,3
The Informant! [2009 film],The Informant! [2009 film],/work/10583590,The Informant: A True Story,/work/252517,2000,by Kurt Eichenwald,0,-3.89,1,4
Youth In Revolt [2009 film],Youth In Revolt [2009 film],/work/9491839,Youth in Revolt,/work/27244,1993,"by C. D. Payne, C. D. Payne",1,-4.05,19,1
Beautiful Kate [2009 film],Beautiful Kate [2009 film],/work/21525866,Beautiful Disaster,/work/8461381,,by Kate Brian,1,-4.33,1,1
Hotel for Dogs [2009 film],Hotel for Dogs [2009 film],/work/16668643,Hotel For Dogs,/work/1221112,1971,by Lois Duncan,1,-3.84,3,1
Chéri [2009 film],Chéri [2009 film],/work/10415040,Chéri / The Last of Chéri,/work/101906,1920,by Colette,1,-3.93,5,1
The Last Station [2009 film],The Last Station [2009 film],/work/11002936,The Last Station: A Novel of Tolstoy's Final Year,/work/413541,1990,by Jay Parini,0,-3.56,2,1
Veronika Decides To Die [2009 film],Veronika Decides To Die [2009 film],/work/10882149,Veronika Decides to Die,/work/39225,1998,by Paulo Coelho,0,-3.6,5,2
Boogie Woogie,Boogie Woogie,/work/3288326,,,,by Rachael O'Neill,0,,1,1
Walled in Light: Saint Colette,Walled in Light: Saint Colette,/work/4867294,,,,by Mother Mary Francis,0,-5,1,1
Dark Country [2009 film],Dark Country [2009 film],/work/13103144,The dark country,/work/919616,1982,by Dennis Etchison,0,-3.76,1,2
The City of Your Final Destination [2009 film],The City of Your Final Destination [2009 film],/work/13289030,The City of Your Final Destination,/work/177342,,by Peter Cameron,0,-3.67,1,2
A Clean Kill in Tokyo,A Clean Kill in Tokyo,/work/43350,,,2002,by Barry Eisler,1,-3.8,1,1
Not Easily Broken [2009 film],Not Easily Broken [2009 film],/work/19461496,Not Easily Broken: A Novel,/work/1766008,,by T. D. Jakes,0,-3.86,1,1
The Cry of the Owl,The Cry of the Owl,/work/171179,,,1962,by Patricia Highsmith,0,-3.71,1,1
The Last Ride,The Last Ride,/work/563222,,,1995,by Thomas Eidson,0,-3.57,1,1
Taras Bulba,Taras Bulba,/work/192404,,,1835,by Nikolai Gogol,0,-3.8,5,2
Like Dandelion Dust [2009 film],Like Dandelion Dust [2009 film],/work/12276279,Like Dandelion Dust,/work/1187333,,by Karen Kingsbury,0,-4.08,1,1
The Bible: In Contemporary Language: The Message,The Bible: In Contemporary Language: The Message,/work/38190,,,2002,by Eugene H. Peterson,1,-4.31,67,2
Tsurugidake: Ten no ki,Tsurugidake: Ten no ki,,,,,,,,,
Twilight [2008 film],Twilight [2008 film],/work/8161517,Twilight,/work/8384326,2005,by Stephenie Meyer,1,-3.74,22,40
The Boy in the Striped Pajamas [2008 film],The Boy in the Striped Pajamas [2008 film],/work/9302941,The Boy in the Striped Pajamas,/work/383608,2006,by John Boyne,0,-3.97,9,14
The Reader [2008 film],The Reader [2008 film],/work/8681291,The Reader,/work/4682,1995,by Bernhard Schlink,0,-3.7,5,15
Body of Lies [2008 film],Body of Lies [2008 film],/work/11338188,Body of Lies,/work/2346653,,by David Ignatius,0,-3.64,1,1
Jumper [2008 film],Jumper [2008 film],/work/5717378,Jumper,/work/23084,1992,by Steven Gould,1,-3.86,4,4
Let the Right One In [2008 film],Let the Right One In [2008 film],/work/9461082,Let The Right One In,/work/662641,2004,by John Ajvide Lindqvist,0,-4,17,11
Slumdog Millionaire [2008 film],Slumdog Millionaire [2008 film],/work/7631625,Q & A,/work/146723,2005,by Vikas Swarup,0,-3.88,12,10
Revolutionary Road [2008 film],Revolutionary Road [2008 film],/work/10238093,Revolutionary Road,/work/10122,1961,by Richard Yates,0,-4.03,7,5
The Ruins [2008 Film],The Ruins [2008 Film],/work/17769885,The Ruins,/work/689300,,by Scott Smith,0,-3.37,7,5
Journey to the Center of the Earth [2008 film],Journey to the Center of the Earth [2008 film],/work/7143982,Journey to the Center of the Earth,/work/41564,1864,by Jules Verne,1,-3.72,5,11
The Chronicles of Narnia: Prince Caspian [2008 film],The Chronicles of Narnia: Prince Caspian [2008 film],/work/7691813,Prince Caspian,/work/6954108,1951,by C. S. Lewis,1,-3.87,20,3
The Other Boleyn Girl [2008 film],The Other Boleyn Girl [2008 film],/work/10007873,The Other Boleyn Girl,/work/5168,2001,by Philippa Gregory,1,-3.95,11,4
Inkheart [2008 film],Inkheart [2008 film],/work/8542250,Inkheart,/work/1653,2003,by Cornelia Funke,1,-3.92,11,25
City of Ember [2008 film],City of Ember [2008 film],/work/7698767,The City of Ember,/work/36181,,by Jeanne DuPrau,1,-3.86,7,32
The Forbidden Kingdom [2008 Movie],The Forbidden Kingdom [2008 Movie],/work/5737969,,,,,,,,
Blindness [2008 film],Blindness [2008 film],/work/12692830,Blindness,/work/3773276,1995,by José Saramago,1,-4.07,8,6
Appaloosa [2008 film],Appaloosa [2008 film],/work/8403038,Appaloosa,/work/74050,2005,by Robert B. Parker,1,-3.77,4,1
Nick & Norah's Infinite Playlist,Nick & Norah's Infinite Playlist,/work/989447,,,2006,"by Rachel Cohn, David Levithan",0,-3.78,10,10
Nights in Rodanthe [2008 film],Nights in Rodanthe [2008 film],/work/9715320,Nights in Rodanthe,/work/4441,2002,by Nicholas Sparks,0,-3.53,3,1
The Red Baron [2008 Film],The Red Baron [2008 Film],/work/10546614,The Red Tent,/work/5173,,by Anita Diamant,0,-4.03,33,5
Nim's Island [2008 film],Nim's Island [2008 film],/work/9346081,Nim's Island,/work/134450,1999,by Wendy Orr,1,-3.86,7,1
New York States of Mind: Art and the City,New York States of Mind: Art and the City,/work/9081853,House,/work/803330,2006,"by Frank Peretti, Ted Dekker",0,-3.39,9,1
Brideshead Revisited [2008 film],Brideshead Revisited [2008 film],/work/13771799,Brideshead Revisited,/work/22550,1945,by Evelyn Waugh,0,-4.04,6,22
The Secret Life of Bees [2008 film],The Secret Life of Bees [2008 film],/work/12852703,The Secret Life of Bees,/work/3045,2002,by Sue Monk Kidd,0,-3.91,15,15
The Sisterhood of the Traveling Pants 2 [2008 film],The Sisterhood of the Traveling Pants 2 [2008 film],/work/7926209,Forever in Blue: The Fourth Summer of the Sisterhood,/work/1099256,2007,by Ann Brashares,1,-3.73,11,2
The Tale of Despereaux [2008 animated film],The Tale of Despereaux [2008 animated film],/work/11214035,"The Tale of Despereaux: Being the Story of a Mouse, a Princess, Some Soup and a Spool of Thread",/work/6953,2003,by Kate DiCamillo,0,-4.09,9,41
The Informers,The Informers,/work/7205,,,1994,by Bret Easton Ellis,0,-3.19,1,1
The Oxford Murders [2008 film],The Oxford Murders [2008 film],/work/12897336,The Oxford Murders,/work/57090,2003,by Guillermo Martínez,0,-3.19,8,2
The Secret of Moonacre [2008 film],The Secret of Moonacre [2008 film],/work/9795503,The Little White Horse,/work/51421,1946,by Elizabeth Goudge,0,-4.1,14,5
The Lazarus Project [2008 Film],The Lazarus Project [2008 Film],/work/17178788,The Lazarus Project,/work/4968372,2008,by Aleksandar Hemon,0,-3.52,8,11
Elegy [2008 film],Elegy [2008 film],/work/16472699,The Dying Animal,/work/18216,2001,by Philip Roth,1,-3.54,5,2
Me and Orson Welles [2008 film],Me and Orson Welles [2008 film],/work/10009455,Me and Orson Welles: A Novel,/work/227182,,by Robert Kaplow,0,-3.42,2,3
Dream Boy,Dream Boy,/work/20214,,,1995,by Jim Grimsley,0,-4,9,3
Adam Resurrected [2008 film],Adam Resurrected [2008 film],/work/16453412,Adam Resurrected: A Novel,/work/349482,1969,by Yoram Kaniuk,0,-2.94,1,1
Afterwards [2008 film],Afterwards [2008 film],/work/16529630,Afterwards,/work/11320756,,by Rosamund Lupton,0,-3.77,4,2
Disgrace,Disgrace,/work/3481,,,1999,by J. M. Coetzee,0,-3.85,5,16
Three Kingdoms,Three Kingdoms,/work/43421,,,,by Guanzhong Luo,0,-4.09,12,3
Meu Nome Não é Johnny,Meu Nome Não é Johnny,/work/4913140,,,,by Guilherme Fiúza,0,-2,1,1
The Golden Boys [2008 film],The Golden Boys [2008 film],/work/17845612,The Golden Treasury of Prayers for Boys and Girls (A Big Golden Book),/work/407281,,by Esther Wilkin,0,-5,1,1
A Show of Hands: Say It in Sign Language,A Show of Hands: Say It in Sign Language,/work/1278360,,,,by Mary Beth Sullivan,0,-3.33,1,2
Esther's Inheritance,Esther's Inheritance,/work/379542,,,1939,by Sándor Márai,0,-3.61,2,1
Whatever Happened to Dulce Veiga? : A B-Novel (Texas Pan American Series),Whatever Happened to Dulce Veiga? : A B-Novel (Texas Pan American Series),/work/1133041,,,,by Caio Fernando Abreu,0,-4.17,1,1
"Diary of a Wimpy Kid: Rodrick Rules, Part 2","Diary of a Wimpy Kid: Rodrick Rules, Part 2",/work/19819436,,,,by Jeff Kinney,1,,1,1
Illyuziya strakha,Illyuziya strakha,,,,,,,,,
No Country for Old Men [2007 film],No Country for Old Men [2007 film],/work/4500186,No Country for Old Men,/work/7137579,2005,by Cormac McCarthy,0,-4.02,5,11
Harry Potter and the Order of the Phoenix [2007 film],Harry Potter and the Order of the Phoenix [2007 film],/work/4362796,Harry Potter and the Order of the Phoenix,/work/115,2003,by J. K. Rowling,1,-4.28,49,22
There Will Be Blood [2007 film],There Will Be Blood [2007 film],/work/5296595,Oil!,/work/258668,1927,by Upton Sinclair,0,-3.57,11,2
Stardust [2007 film],Stardust [2007 film],/work/4549033,Stardust,/work/3574878,1998,by Neil Gaiman,0,-4.02,20,7
The Mist [2007 film],The Mist [2007 film],/work/10870263,The Mist,/work/232669,,by Stephen King,1,-3.83,5,2
I Am Legend [2007 film],I Am Legend [2007 film],/work/3825229,I Am Legend,/work/819161,1954,by Richard Matheson,0,-3.97,21,13
Shooter [2007 film],Shooter [2007 film],/work/7989159,Point of Impact,/work/7732,1993,by Stephen Hunter,1,-4.08,1,1
Gone Baby Gone [2007 film],Gone Baby Gone [2007 film],/work/8834337,"Gone, Baby, Gone",/work/38008,1998,by Dennis Lehane,1,-3.97,9,6
The Golden Compass [2007 film],The Golden Compass [2007 film],/work/5750391,Northern Lights,/work/3261,1995,by Philip Pullman,1,-4.08,80,32
Bridge to Terabithia [2007 film],Bridge to Terabithia [2007 film],/work/9829845,Bridge to Terabithia,/work/4131,,by Katherine Paterson,0,-4.02,5,21
The Invasion [2007 film],The Invasion [2007 film],/work/12416896,The Invasion,/work/20684666,2018,by Peadar Ó Guilín,1,-3.7,1,1
P. S. I Love You [2007 film],P. S. I Love You [2007 film],/work/6513698,,,,,,,,
The Bourne Ultimatum [2007 film],The Bourne Ultimatum [2007 film],/work/2953721,The Bourne Ultimatum,/work/31895,1990,by Robert Ludlum,1,-3.59,6,2
The Assassination of Jesse James by the Coward Robert Ford [2007 film],The Assassination of Jesse James by the Coward Robert Ford [2007 film],/work/5212703,The Assassination of Jesse James by the Coward Robert Ford,/work/168286,1983,by Ron Hansen,0,-3.76,3,1
Next [2007 film],Next [2007 film],/work/4072138,Next,/work/1806474,2006,by Michael Crichton,0,-3.24,9,2
Charlie Wilson's War [2007 film],Charlie Wilson's War [2007 film],/work/5390356,Charlie Wilson's War: The Extraordinary Story of How the Wildest Man in Congress and a Rogue CIA Agent Changed the History of Our Times,/work/21866,2003,by George Crile,0,-4.05,9,4
Hannibal Rising [2007 film],Hannibal Rising [2007 film],/work/11781590,Hannibal Rising,/work/1629853,2006,by Thomas Harris,1,-3.16,5,2
