title,description,contributor,author,contributor_note,price,age_group,publisher,isbns,ranks_history,reviews
The Persian Pickle Club,,,Sandra Dallas,,0.00,,,"[{'isbn10': '0312147015', 'isbn13': '9780312147013'}]",[],"[{'book_review_link': '', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/1995/11/12/books/books-in-brief-fiction-029181.html', 'article_chapter_link': None}]"
THE PERSISTENCE OF MEMORY,,by David Mack,David Mack,,0.00,,Pocket Books/Star Trek,"[{'isbn10': '1451650728', 'isbn13': '9781451650723'}]",[],"[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
The Persistence of Memory: A Novel,,,Tony Eprile,,0.00,,,"[{'isbn10': '0393327221', 'isbn13': '9780393327229'}]",[],"[{'book_review_link': '', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/2004/08/08/books/truth-and-reconciliation.html', 'article_chapter_link': None}]"
THE PERSONAL LIBRARIAN,A Black woman who becomes one of the most powerful people in the art and book world is forced to hide her true identity.,by Marie Benedict and Victoria Christopher Murray,Marie Benedict and Victoria Christopher Murray,,0.00,,Berkley,"[{'isbn10': '0593101537', 'isbn13': '9780593101537'}]","[{'primary_isbn10': '0593101537', 'primary_isbn13': '9780593101537', 'rank': 15, 'list_name': 'Hardcover Fiction', 'display_name': 'Hardcover Fiction', 'published_date': '2021-08-15', 'bestsellers_date': '2021-07-31', 'weeks_on_list': 5, 'rank_last_week': 10, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '0593101537', 'primary_isbn13': '9780593101537', 'rank': 10, 'list_name': 'Hardcover Fiction', 'display_name': 'Hardcover Fiction', 'published_date': '2021-08-08', 'bestsellers_date': '2021-07-24', 'weeks_on_list': 4, 'rank_last_week': 9, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '0593101537', 'primary_isbn13': '9780593101537', 'rank': 9, 'list_name': 'Hardcover Fiction', 'display_name': 'Hardcover Fiction', 'published_date': '2021-08-01', 'bestsellers_date': '2021-07-17', 'weeks_on_list': 3, 'rank_last_week': 15, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '0593101537', 'primary_isbn13': '9780593101537', 'rank': 15, 'list_name': 'Hardcover Fiction', 'display_name': 'Hardcover Fiction', 'published_date': '2021-07-25', 'bestsellers_date': '2021-07-10', 'weeks_on_list': 2, 'rank_last_week': 8, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '0593101537', 'primary_isbn13': '9780593101537', 'rank': 8, 'list_name': 'Hardcover Fiction', 'display_name': 'Hardcover Fiction', 'published_date': '2021-07-18', 'bestsellers_date': '2021-07-03', 'weeks_on_list': 1, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}]","[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
The Pesthouse (Vintage),,,Jim Crace,,0.00,,,"[{'isbn10': '0307278956', 'isbn13': '9780307278951'}]",[],"[{'book_review_link': '', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/2007/04/29/books/review/Prose.t.html', 'article_chapter_link': None}]"
THE PETITE ADVANTAGE DIET,"There are clothes for “petites,” so why not a specialized diet plan? This program is tailored to women who are 5-foot-4 or under.",by Jim Karas,Jim Karas,,0.00,,HarperOne,"[{'isbn10': '0062025457', 'isbn13': '9780062025456'}]","[{'primary_isbn10': '0062025457', 'primary_isbn13': '9780062025456', 'rank': 13, 'list_name': 'Hardcover Advice', 'display_name': 'Hardcover Advice & Misc.', 'published_date': '2012-01-22', 'bestsellers_date': '2012-01-07', 'weeks_on_list': 0, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '0062025457', 'primary_isbn13': '9780062025456', 'rank': 4, 'list_name': 'Hardcover Advice', 'display_name': 'Hardcover Advice & Misc.', 'published_date': '2012-01-15', 'bestsellers_date': '2011-12-31', 'weeks_on_list': 1, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 1}]","[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
The Petting Zoo,,,Jim Carroll,,0.00,,,"[{'isbn10': '0143120093', 'isbn13': '9780143120094'}]",[],"[{'book_review_link': '', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/2010/12/12/books/review/Hell-t.html', 'article_chapter_link': None}]"
The Phantom Father: A Memoir,,,Barry Gifford,,0.00,,,"[{'isbn10': '0151002509', 'isbn13': '9780151002504'}]",[],"[{'book_review_link': 'https://www.nytimes.com/1997/06/27/books/he-remembers-papa-or-does-he-really.html', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/1997/05/18/books/some-of-his-best-friends.html', 'article_chapter_link': None}]"
"THE PHANTOM: THE COMPLETE NEWSPAPER DAILIES, VOL. 1","The Phantom, ""the ghost who walks,"" gets the lavish-collection treatment, this one covering his very first adventures from 1936 to 1938.",by Lee Falk and Ray Moore,Lee Falk and Ray Moore,,39.99,,Hermes Press,"[{'isbn10': '1932563415', 'isbn13': '9781932563412'}]",[],"[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
"THE PHANTOM: THE COMPLETE NEWSPAPER DAILIES, VOL. 5","This latest volume of newspaper strip reprints covers the 1943 through 1944 adventures of the ""granddaddy of all costumed heroes.""",by Lee Falk,Lee Falk,,49.99,,Hermes Press,"[{'isbn10': '1613450303', 'isbn13': '9781613450307'}]","[{'primary_isbn10': '1613450303', 'primary_isbn13': '9781613450307', 'rank': 4, 'list_name': 'Hardcover Graphic Books', 'display_name': 'Hardcover Graphic Books', 'published_date': '2013-04-28', 'bestsellers_date': '2013-04-13', 'weeks_on_list': 1, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}]","[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
THE PHARAOH KEY,Gideon Crew and Manuel Garza go on a mission to solve the mystery of a centuries-old stone tablet.,by Douglas Preston and Lincoln Child,Douglas Preston and Lincoln Child,,0.00,,Grand Central,"[{'isbn10': '1455525820', 'isbn13': '9781455525829'}, {'isbn10': '1455525804', 'isbn13': '9781455525805'}]","[{'primary_isbn10': '1455525820', 'primary_isbn13': '9781455525829', 'rank': 15, 'list_name': 'Hardcover Fiction', 'display_name': 'Hardcover Fiction', 'published_date': '2018-07-08', 'bestsellers_date': '2018-06-23', 'weeks_on_list': 2, 'rank_last_week': 4, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '1455525804', 'primary_isbn13': '9781455525805', 'rank': 4, 'list_name': 'Combined Print and E-Book Fiction', 'display_name': 'Combined Print & E-Book Fiction', 'published_date': '2018-07-01', 'bestsellers_date': '2018-06-16', 'weeks_on_list': 1, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '1455525820', 'primary_isbn13': '9781455525829', 'rank': 4, 'list_name': 'Hardcover Fiction', 'display_name': 'Hardcover Fiction', 'published_date': '2018-07-01', 'bestsellers_date': '2018-06-16', 'weeks_on_list': 1, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}]","[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
THE PHARAOH'S SECRET,"When the NUMA crew is exposed to a dangerous toxin, Kurt Austin and Joe Zavala rush to find a cure foretold by ancient Egyptian lore.",by Clive Cussler and Graham Brown,Clive Cussler and Graham Brown,,0.00,,Putnam,"[{'isbn10': '0399174117', 'isbn13': '9780399174117'}, {'isbn10': '0735215251', 'isbn13': '9780735215252'}]","[{'primary_isbn10': '0735215251', 'primary_isbn13': '9780735215252', 'rank': 13, 'list_name': 'Mass Market Paperback', 'display_name': 'Paperback Mass-Market Fiction', 'published_date': '2016-12-18', 'bestsellers_date': '2016-12-03', 'weeks_on_list': 0, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '0735215251', 'primary_isbn13': '9780735215252', 'rank': 10, 'list_name': 'Mass Market Paperback', 'display_name': 'Paperback Mass-Market Fiction', 'published_date': '2016-12-11', 'bestsellers_date': '2016-11-26', 'weeks_on_list': 5, 'rank_last_week': 9, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '0735215251', 'primary_isbn13': '9780735215252', 'rank': 9, 'list_name': 'Mass Market Paperback', 'display_name': 'Paperback Mass-Market Fiction', 'published_date': '2016-12-04', 'bestsellers_date': '2016-11-19', 'weeks_on_list': 4, 'rank_last_week': 8, 'asterisk': 1, 'dagger': 0}, {'primary_isbn10': '0735215251', 'primary_isbn13': '9780735215252', 'rank': 8, 'list_name': 'Mass Market Paperback', 'display_name': 'Paperback Mass-Market Fiction', 'published_date': '2016-11-27', 'bestsellers_date': '2016-11-12', 'weeks_on_list': 3, 'rank_last_week': 4, 'asterisk': 1, 'dagger': 0}, {'primary_isbn10': '0735215251', 'primary_isbn13': '9780735215252', 'rank': 4, 'list_name': 'Mass Market Paperback', 'display_name': 'Paperback Mass-Market Fiction', 'published_date': '2016-11-20', 'bestsellers_date': '2016-11-05', 'weeks_on_list': 2, 'rank_last_week': 9, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '0735215251', 'primary_isbn13': '9780735215252', 'rank': 9, 'list_name': 'Mass Market Paperback', 'display_name': 'Paperback Mass-Market Fiction', 'published_date': '2016-11-13', 'bestsellers_date': '2016-10-29', 'weeks_on_list': 1, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '0399174117', 'primary_isbn13': '9780399174117', 'rank': 20, 'list_name': 'Hardcover Fiction', 'display_name': 'Hardcover Fiction', 'published_date': '2015-12-20', 'bestsellers_date': '2015-12-05', 'weeks_on_list': 0, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '0399174117', 'primary_isbn13': '9780399174117', 'rank': 13, 'list_name': 'Hardcover Fiction', 'display_name': 'Hardcover Fiction', 'published_date': '2015-12-13', 'bestsellers_date': '2015-11-28', 'weeks_on_list': 2, 'rank_last_week': 8, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '0399174117', 'primary_isbn13': '9780399174117', 'rank': 17, 'list_name': 'Combined Print and E-Book Fiction', 'display_name': 'Combined Print & E-Book Fiction', 'published_date': '2015-12-13', 'bestsellers_date': '2015-11-28', 'weeks_on_list': 0, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '0399174117', 'primary_isbn13': '9780399174117', 'rank': 8, 'list_name': 'Hardcover Fiction', 'display_name': 'Hardcover Fiction', 'published_date': '2015-12-06', 'bestsellers_date': '2015-11-21', 'weeks_on_list': 1, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': 'None', 'primary_isbn13': '9780698191266', 'rank': 6, 'list_name': 'E-Book Fiction', 'display_name': 'E-Book Fiction', 'published_date': '2015-12-06', 'bestsellers_date': '2015-11-21', 'weeks_on_list': 1, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': 'None', 'primary_isbn13': '9780698191266', 'rank': 6, 'list_name': 'Combined Print and E-Book Fiction', 'display_name': 'Combined Print & E-Book Fiction', 'published_date': '2015-12-06', 'bestsellers_date': '2015-11-21', 'weeks_on_list': 1, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}]","[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
THE PHENOMENON,"The pitcher, now retired, discusses the anxiety that sidelined him for years and his comeback.",by Rick Ankiel and Tim Brown,Rick Ankiel and Tim Brown,,0.00,,PublicAffairs,"[{'isbn10': '1610396863', 'isbn13': '9781610396868'}, {'isbn10': '1610396871', 'isbn13': '9781610396875'}]","[{'primary_isbn10': '1610396863', 'primary_isbn13': '9781610396868', 'rank': 8, 'list_name': 'Sports', 'display_name': 'Sports and Fitness', 'published_date': '2017-05-14', 'bestsellers_date': '2017-04-29', 'weeks_on_list': 0, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 1}, {'primary_isbn10': '1610396863', 'primary_isbn13': '9781610396868', 'rank': 14, 'list_name': 'Hardcover Nonfiction', 'display_name': 'Hardcover Nonfiction', 'published_date': '2017-05-07', 'bestsellers_date': '2017-04-22', 'weeks_on_list': 1, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 1}]","[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
The Philadelphia Phillies: An Illustrated History,,,Donald Honig,,0.00,,,"[{'isbn10': '0671761072', 'isbn13': '9780671761073'}]",[],"[{'book_review_link': '', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/1992/04/05/books/in-short-baseball-682592.html', 'article_chapter_link': None}]"
The Philharmonic Gets Dressed (Reading Rainbow Books),,,Karla Kuskin,,0.00,,,"[{'isbn10': '006443124X', 'isbn13': '9780064431248'}]",[],"[{'book_review_link': '', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/1982/10/17/books/children-s-books-220646.html', 'article_chapter_link': None}]"
The Philosopher in the City: The Moral Dimensions of Urban Politics,,,Hadley Arkes,,0.00,,,"[{'isbn10': '0691093563', 'isbn13': '9780691093567'}]",[],"[{'book_review_link': '', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/1981/07/05/books/urban-tour.html', 'article_chapter_link': None}]"
The Philosopher on Dover Beach: Essays,,,Roger Scruton,,0.00,,,"[{'isbn10': '0312050399', 'isbn13': '9780312050399'}]",[],"[{'book_review_link': '', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/1991/02/17/books/an-assault-on-mush.html', 'article_chapter_link': None}]"
The Philosopher's Apprentice: A Novel (P.S.),,,James Morrow,,0.00,,,"[{'isbn10': '0061351458', 'isbn13': '9780061351457'}]",[],"[{'book_review_link': '', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/2008/03/23/books/review/Deb-t.html', 'article_chapter_link': None}]"
The Philosopher's Pupil,,,Iris Murdoch,,0.00,,,"[{'isbn10': '0140066950', 'isbn13': '9780140066951'}]",[],"[{'book_review_link': '', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/1983/07/17/books/loving-the-illusions.html', 'article_chapter_link': None}]"
THE PHILOSOPHICAL BABY,,by Alison Gopnik,Alison Gopnik,,0.00,,"Farrar, Straus & Giroux",[],[],"[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': 'https://www.nytimes.com/2009/08/09/books/review/Gottlieb-t.html', 'article_chapter_link': ''}]"
THE PHOENIX TRANSFORMED,,by Mercedes Lackey and James Mallory,Mercedes Lackey and James Mallory,,0.00,,Tor,[],[],"[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
The Phoenix:  A Novel of the Hindenburg,,,Henning Boetius,,0.00,,,"[{'isbn10': '042519017X', 'isbn13': '9780425190173'}]",[],"[{'book_review_link': '', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/2002/02/03/books/books-in-brief-fiction-289736.html', 'article_chapter_link': None}]"
The Photograph,,,Penelope Lively,,0.00,,,"[{'isbn10': '0142004421', 'isbn13': '9780142004425'}]",[],"[{'book_review_link': '', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/2003/07/20/books/blowup.html', 'article_chapter_link': None}]"
THE PHOTOGRAPHER,,"by Emmanuel Guibert, Frederic Lemercier and Didier Lefevre","Emmanuel Guibert, Frederic Lemercier and Didier Lefevre",,0.00,,Roaring Brook Press,[],[],"[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
The Photographer's Wife,,,Robert Sole,,0.00,,,"[{'isbn10': '1860466990', 'isbn13': '9781860466991'}]",[],"[{'book_review_link': '', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/1999/12/19/books/books-in-brief-fiction-829056.html', 'article_chapter_link': None}]"
The Physician of London: The Second Part of the Seventeenth-Century Trilogy of Nicholas Cooke,,,Stephanie Cowell,,0.00,,,"[{'isbn10': '0393038734', 'isbn13': '9780393038736'}]",[],"[{'book_review_link': '', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/1995/11/19/books/books-in-brief-fiction-047511.html', 'article_chapter_link': None}]"
THE PHYSICK BOOK OF DELIVERANCE DANE,A graduate student is caught up in her research on a healer accused of witchcraft in Salem.,by Katherine Howe,Katherine Howe,,0.00,,Voice,"[{'isbn10': '1401341330', 'isbn13': '9781401341336'}]",[],"[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
The Physics of the Buffyverse,,,Jennifer Ouellette,,0.00,,,"[{'isbn10': '0143038621', 'isbn13': '9780143038627'}]",[],"[{'book_review_link': 'https://www.nytimes.com/2007/02/25/books/review/Biersdorfer.t.html', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/2007/02/25/books/review/Biersdorfer.t.html', 'article_chapter_link': None}]"
THE PHYSICS OF WALL STREET,,by James Owen Weatherall,James Owen Weatherall,,0.00,,Houghton Mifflin Harcourt,"[{'isbn10': '0547317271', 'isbn13': '9780547317274'}]",[],"[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': 'https://www.nytimes.com/2013/01/06/books/review/the-physics-of-wall-street-by-james-owen-weatherall.html', 'article_chapter_link': ''}]"
The Piano Man,,,Debbi Chocolate,,0.00,,,"[{'isbn10': '0802786464', 'isbn13': '9780802786463'}]",[],"[{'book_review_link': '', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/1998/08/16/books/children-books.html', 'article_chapter_link': None}]"
The Piano Shop on the Left Bank: Discovering a Forgotten Passion in a Paris Atelier,,,Thad Carhart,,0.00,,,"[{'isbn10': '0375758623', 'isbn13': '9780375758621'}]",[],"[{'book_review_link': '', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/2001/06/10/books/the-piano-lesson.html', 'article_chapter_link': None}]"
THE PIANO TEACHER,An Englishwoman in 1950s Hong Kong discovers devastating secrets from the years of the Japanese occupation.,by Janice Y. K. Lee,Janice Y K Lee,,0.00,,Viking,"[{'isbn10': '0143116533', 'isbn13': '9780143116530'}]",[],"[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': 'https://www.nytimes.com/2009/01/18/books/review/Fugard-t.html', 'article_chapter_link': ''}]"
The Piano Tuner,,,Daniel Mason,,0.00,,,"[{'isbn10': '1400030382', 'isbn13': '9781400030385'}]",[],"[{'book_review_link': '', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/2002/09/29/books/a-few-strings-loose.html', 'article_chapter_link': None}]"
The Pianoplayers,,,Anthony Burgess,,0.00,,,"[{'isbn10': '0671637924', 'isbn13': '9780671637927'}]",[],"[{'book_review_link': '', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/1986/11/02/books/she-was-as-pure-as-snow-and-she-drifted.html', 'article_chapter_link': None}]"
The Pickup: A Novel,,,Nadine Gordimer,,0.00,,,"[{'isbn10': '1250024048', 'isbn13': '9781250024046'}]",[],"[{'book_review_link': '', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/2001/12/16/books/how-the-other-half-loves.html', 'article_chapter_link': None}]"
The Pieces from Berlin,,,Michael Pye,,0.00,,,"[{'isbn10': '0375714162', 'isbn13': '9780375714160'}]",[],"[{'book_review_link': '', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/2003/03/02/books/dishonest-appraisals.html', 'article_chapter_link': None}]"
The Pied Piper: Allard K. Lowenstein and the Liberal Dream,,,Richard Cummings,,0.00,,,"[{'isbn10': '0967351413', 'isbn13': '9780967351414'}]",[],"[{'book_review_link': '', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/1985/04/14/books/his-innocence-proves-his-guilt.html', 'article_chapter_link': None}]"
THE PIGEON HAS TO GO TO SCHOOL!,Pigeon deals with the anxieties of going to school for the first time.,by Mo Willems,Mo Willems,,0.00,,Hyperion,"[{'isbn10': '1368046452', 'isbn13': '9781368046459'}]","[{'primary_isbn10': '1368046452', 'primary_isbn13': '9781368046459', 'rank': 6, 'list_name': 'Picture Books', 'display_name': 'Children’s Picture Books', 'published_date': '2021-09-26', 'bestsellers_date': '2021-09-11', 'weeks_on_list': 40, 'rank_last_week': 2, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '1368046452', 'primary_isbn13': '9781368046459', 'rank': 2, 'list_name': 'Picture Books', 'display_name': 'Children’s Picture Books', 'published_date': '2021-09-19', 'bestsellers_date': '2021-09-04', 'weeks_on_list': 39, 'rank_last_week': 1, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '1368046452', 'primary_isbn13': '9781368046459', 'rank': 1, 'list_name': 'Picture Books', 'display_name': 'Children’s Picture Books', 'published_date': '2021-09-12', 'bestsellers_date': '2021-08-28', 'weeks_on_list': 38, 'rank_last_week': 2, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '1368046452', 'primary_isbn13': '9781368046459', 'rank': 2, 'list_name': 'Picture Books', 'display_name': 'Children’s Picture Books', 'published_date': '2021-09-05', 'bestsellers_date': '2021-08-21', 'weeks_on_list': 37, 'rank_last_week': 1, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '1368046452', 'primary_isbn13': '9781368046459', 'rank': 1, 'list_name': 'Picture Books', 'display_name': 'Children’s Picture Books', 'published_date': '2021-08-29', 'bestsellers_date': '2021-08-14', 'weeks_on_list': 36, 'rank_last_week': 2, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '1368046452', 'primary_isbn13': '9781368046459', 'rank': 2, 'list_name': 'Picture Books', 'display_name': 'Children’s Picture Books', 'published_date': '2021-08-22', 'bestsellers_date': '2021-08-07', 'weeks_on_list': 35, 'rank_last_week': 2, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '1368046452', 'primary_isbn13': '9781368046459', 'rank': 2, 'list_name': 'Picture Books', 'display_name': 'Children’s Picture Books', 'published_date': '2021-08-15', 'bestsellers_date': '2021-07-31', 'weeks_on_list': 34, 'rank_last_week': 2, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '1368046452', 'primary_isbn13': '9781368046459', 'rank': 2, 'list_name': 'Picture Books', 'display_name': 'Children’s Picture Books', 'published_date': '2021-08-08', 'bestsellers_date': '2021-07-24', 'weeks_on_list': 33, 'rank_last_week': 2, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '1368046452', 'primary_isbn13': '9781368046459', 'rank': 2, 'list_name': 'Picture Books', 'display_name': 'Children’s Picture Books', 'published_date': '2021-08-01', 'bestsellers_date': '2021-07-17', 'weeks_on_list': 32, 'rank_last_week': 4, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '1368046452', 'primary_isbn13': '9781368046459', 'rank': 4, 'list_name': 'Picture Books', 'display_name': 'Children’s Picture Books', 'published_date': '2021-07-25', 'bestsellers_date': '2021-07-10', 'weeks_on_list': 31, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '1368046452', 'primary_isbn13': '9781368046459', 'rank': 6, 'list_name': 'Picture Books', 'display_name': 'Children’s Picture Books', 'published_date': '2020-10-04', 'bestsellers_date': '2020-09-19', 'weeks_on_list': 30, 'rank_last_week': 5, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '1368046452', 'primary_isbn13': '9781368046459', 'rank': 5, 'list_name': 'Picture Books', 'display_name': 'Children’s Picture Books', 'published_date': '2020-09-27', 'bestsellers_date': '2020-09-12', 'weeks_on_list': 29, 'rank_last_week': 2, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '1368046452', 'primary_isbn13': '9781368046459', 'rank': 2, 'list_name': 'Picture Books', 'display_name': 'Children’s Picture Books', 'published_date': '2020-09-20', 'bestsellers_date': '2020-09-05', 'weeks_on_list': 28, 'rank_last_week': 3, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '1368046452', 'primary_isbn13': '9781368046459', 'rank': 3, 'list_name': 'Picture Books', 'display_name': 'Children’s Picture Books', 'published_date': '2020-09-13', 'bestsellers_date': '2020-08-29', 'weeks_on_list': 27, 'rank_last_week': 3, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '1368046452', 'primary_isbn13': '9781368046459', 'rank': 3, 'list_name': 'Picture Books', 'display_name': 'Children’s Picture Books', 'published_date': '2020-09-06', 'bestsellers_date': '2020-08-22', 'weeks_on_list': 26, 'rank_last_week': 3, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '1368046452', 'primary_isbn13': '9781368046459', 'rank': 3, 'list_name': 'Picture Books', 'display_name': 'Children’s Picture Books', 'published_date': '2020-08-30', 'bestsellers_date': '2020-08-15', 'weeks_on_list': 25, 'rank_last_week': 2, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '1368046452', 'primary_isbn13': '9781368046459', 'rank': 2, 'list_name': 'Picture Books', 'display_name': 'Children’s Picture Books', 'published_date': '2020-08-23', 'bestsellers_date': '2020-08-08', 'weeks_on_list': 24, 'rank_last_week': 7, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '1368046452', 'primary_isbn13': '9781368046459', 'rank': 7, 'list_name': 'Picture Books', 'display_name': 'Children’s Picture Books', 'published_date': '2020-08-16', 'bestsellers_date': '2020-08-01', 'weeks_on_list': 23, 'rank_last_week': 10, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '1368046452', 'primary_isbn13': '9781368046459', 'rank': 10, 'list_name': 'Picture Books', 'display_name': 'Children’s Picture Books', 'published_date': '2020-08-09', 'bestsellers_date': '2020-07-25', 'weeks_on_list': 22, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '1368046452', 'primary_isbn13': '9781368046459', 'rank': 7, 'list_name': 'Picture Books', 'display_name': 'Children’s Picture Books', 'published_date': '2019-12-15', 'bestsellers_date': '2019-11-30', 'weeks_on_list': 21, 'rank_last_week': 10, 'asterisk': 0, 'dagger': 0}]","[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
THE PIGEON NEEDS A BATH!,A filthy bird is persuaded to bathe.,by Mo Willems,Mo Willems,,0.00,Ages 3 to 7,Hyperion,"[{'isbn10': '1423190874', 'isbn13': '9781423190875'}]",[],"[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
THE PIGEON TUNNEL,A memoir by the great spy novelist.,by John le Carré,John le Carré,,0.00,,Viking,"[{'isbn10': '0735220778', 'isbn13': '9780735220775'}]",[],"[{'book_review_link': 'https://www.nytimes.com/2016/09/18/books/review/john-le-carre-pigeon-tunnel.html', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
The Pigman's Legacy,,,Paul Zindel,,0.00,,,"[{'isbn10': '0060759704', 'isbn13': '9780060759704'}]",[],"[{'book_review_link': '', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/1981/01/25/books/children-s-books-237744.html', 'article_chapter_link': None}]"
"The Pill, Pygmy Chimps, and Degas' Horse: The Autobiography of Carl Djerassi",,,Carl Djerassi,,0.00,,,"[{'isbn10': '0465057594', 'isbn13': '9780465057597'}]",[],"[{'book_review_link': '', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/1992/04/05/books/father-of-the-pill.html', 'article_chapter_link': None}]"
